period,scenario,n,end,cagr,mdd,avg_exposure,max_exposure,accepted_theme,accepted_market,market_preemptions,skipped_market_no_slot,skipped_market_cap,turnover_nav
DISCOVERY,THEME_ONLY,1511,1.1322177913181375,0.020945413245374356,-0.0448689732731935,0.02854225056244373,0.12780658757489266,73,0,0,0,0,4.373122778439011
DISCOVERY,THEME_PLUS_SECTOR_RS63_PCT_GE80_PREEMPT,1511,1.1745375844626627,0.02721859814381733,-0.057428112357955974,0.04686978226253062,0.13544254306475423,73,52,7,122,233,7.430400050020328
CONFIRM,THEME_ONLY,1126,1.1085761284932256,0.02323588013600264,-0.016147046895281014,0.030741703376019967,0.13511763778125357,58,0,0,0,0,3.422531017170982
CONFIRM,THEME_PLUS_SECTOR_RS63_PCT_GE80_PREEMPT,1126,1.0748867543822966,0.016222987532057642,-0.034404757254010376,0.049491603619615236,0.13511856060176697,58,39,6,85,155,5.66334432133049
