group_rank,group,sector,phase,score,pioneer_score,breadth_score,leader_breakouts,exported_stock_rows
121,Security/Sfty,Electronic Technology,LOSING,37.5,43.0,29.2,0,21
122,Multi-Line Insurance,Finance,LOSING,42.5,42.9,42.0,0,2
123,Apparel-Shoes & Rel Mfg,Consumer Non-Durables,LOSING,47.7,42.7,55.3,0,2
124,Machinery-Gen Industrial,Producer Manufacturing,LOSING,35.5,42.7,24.8,0,45
125,Electronic-Parts,Electronic Technology,LOSING,36.4,42.1,27.8,0,16
126,Bldg-Resident/Comml,Consumer Durables,LOSING,36.9,41.5,30.1,0,17
127,Retail-Super/Mini Mkts,Retail Trade,LOSING,36.0,40.3,29.7,0,12
128,Retail-Leisure Products,Retail Trade,LOSING,32.6,39.9,21.7,0,9
129,Banks-Savings & Loan,Finance,LOSING,40.7,39.8,42.0,0,8
130,Elec-Misc Products,Electronic Technology,LOSING,35.4,39.7,28.9,0,14
131,Leisure-Services,Consumer Services,LOSING,33.7,39.7,24.8,0,37
132,Business Equip & Supplies,Distribution Services,LOSING,41.6,39.4,44.8,0,5
133,Specialty Telecommunications,Communications,LOSING,36.9,39.1,33.7,0,2
134,Investment Trusts/Mutual Funds,Miscellaneous,LOSING,33.0,39.1,23.8,0,3
135,Retail/Whlsle-Bldg Prds,Distribution Services,LOSING,33.3,38.6,25.5,0,10
136,Real Estate Development,Finance,LOSING,37.2,38.5,35.3,0,3
137,Steel-Specialty Alloys,Non-Energy Minerals,LOSING,34.4,37.6,29.6,0,6
138,Building - Tools,Consumer Durables,LOSING,42.6,37.0,50.8,0,3
139,Consumer - Specialty,Consumer Non-Durables,LOSING,37.0,36.9,37.2,0,10
140,Diversified Operations,Producer Manufacturing,LOSING,34.8,36.7,32.0,0,14
141,Transportation-Rail,Transportation,LOSING,40.4,36.4,46.4,0,5
142,Banks-Super Regional,Finance,LOSING,35.0,36.3,33.0,0,12
143,Retail - Specialty,Retail Trade,LOSING,34.6,35.8,33.0,0,16
144,Finance-Savings & Loan,Finance,LOSING,38.0,35.6,41.7,0,3
145,Banks-Southeast,Finance,LOSING,37.4,34.3,42.1,0,2
146,Medical-Research Eqp/Svc,Health Technology,LOSING,36.3,34.1,39.6,0,2
147,Insurance-Prop/Cas/Titl,Finance,LOSING,37.6,33.9,43.2,0,3
148,Transportation-Equip Mfg,Producer Manufacturing,LOSING,27.9,33.5,19.6,0,8
149,Elec-Contract Mfg,Electronic Technology,LOSING,29.1,33.4,22.6,0,9
150,Comml Svcs-Leasing,Finance,LOSING,29.8,33.2,24.7,0,16
151,Internet-Network Sltns,Technology Services,LOSING,27.6,33.0,19.6,0,8
152,Bldg-Maintenance & Svc,Commercial Services,LOSING,35.9,32.8,40.4,0,5
153,Trucks & Parts-Hvy Duty,Producer Manufacturing,LOSING,32.7,31.8,34.0,0,6
154,Consumer Prod-Electronic,Consumer Durables,LOSING,34.2,31.6,38.3,0,4
155,Paper & Paper Products,Process Industries,LOSING,35.3,31.5,41.1,0,7
156,Leisure-Gaming/Equip,Consumer Services,LOSING,27.7,31.0,22.8,0,21
157,Utility-Diversified,Utilities,LOSING,28.8,30.4,26.4,0,2
158,Retail/Whlsle-Auto Parts,Retail Trade,LOSING,26.3,30.0,20.8,0,9
159,Food - Wholesale,Distribution Services,LOSING,33.0,29.8,37.7,0,5
160,Computer Processing Hardware,Electronic Technology,LOSING,26.9,29.7,22.7,0,2
161,Beverages-Alcoholic,Consumer Non-Durables,LOSING,28.8,29.5,27.7,0,10
162,Apparel - Clothing & Shoes,Consumer Non-Durables,LOSING,24.3,28.8,17.7,0,23
163,Tobacco,Consumer Non-Durables,LOSING,24.4,28.2,18.9,0,6
164,Electrical-Power/Equipmt,Producer Manufacturing,LOSING,24.2,28.1,18.3,0,23
165,Medical-Supplies,Health Technology,LOSING,28.0,26.9,29.6,0,2
166,Elec-Scientific/Msrng,Electronic Technology,LOSING,25.1,25.0,25.3,0,9
167,Banks-Midwest,Finance,LOSING,25.8,22.7,30.6,0,3
168,Electrical Products,Producer Manufacturing,LOSING,20.0,22.5,16.3,0,4
169,Bldg-A/C & Heating Prds,Producer Manufacturing,LOSING,27.6,22.4,35.5,0,2
170,Packaged Software,Technology Services,LOSING,21.3,22.3,19.7,0,7
171,Energy-Solar,Electronic Technology,LOSING,18.1,21.9,12.5,0,10
172,Finance-Property REIT,Finance,LOSING,22.6,21.4,24.5,0,3
173,Bldg-Cement/Concrt/Ag,Non-Energy Minerals,LOSING,19.7,21.4,17.3,0,10
174,Industrial Machinery,Producer Manufacturing,LOSING,19.4,21.0,17.0,0,2
175,Internet Software/Services,Technology Services,LOSING,18.0,20.1,14.9,0,2
176,Pharmaceuticals: Major,Health Technology,LOSING,23.0,17.8,31.0,0,3
177,Transportation-Airline,Transportation,LOSING,16.0,17.8,13.3,0,15
178,Apparel/Footwear Retail,Retail Trade,LOSING,18.4,17.7,19.5,0,2
179,Real Estate Investment Trusts,Finance,LOSING,15.9,17.5,13.4,0,5
180,Bldg-Constr Prds/Misc,Producer Manufacturing,LOSING,16.1,13.3,20.4,0,3
181,Retail-Specialty,Retail Trade,LOSING,13.9,12.9,15.4,0,2
182,Aerospace & Defense,Electronic Technology,LOSING,14.3,12.0,17.7,0,3
183,Data Processing Services,Technology Services,LOSING,11.9,10.3,14.3,0,3
