etf,holding_rank,holding_weight_pct,symbol,name,group,group_sector,group_phase,group_rank,group_score,group_pioneer_score,group_breadth_score,stock_rank_within_group,role,strength,rs189,rs63,rs21,acceleration,slow_acceleration,breakout_status
IGV,1,10.29,PLTR,Palantir Technologies Inc. Class A,Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,26,PIONEER,68.9,51.1,76.1,98.5,22.4,24.9,BREAKOUT_WATCH
IGV,2,9.72,PANW,"Palo Alto Networks, Inc.",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,3,LEADER,86.2,95.4,88.6,83.9,-4.7,-6.8,NONE
IGV,3,9.18,MSFT,Microsoft Corporation,Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,31,FOLLOWER,59.7,42.0,65.1,75.4,10.4,23.1,NONE
IGV,4,7.37,CRWD,"CrowdStrike Holdings, Inc. Class A",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,1,PIONEER,90.8,92.6,79.1,89.5,10.4,-13.4,BREAKOUT_NOW
IGV,5,6.6,CRM,"Salesforce, Inc.",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,14,PIONEER,78.2,52.6,85.0,96.7,11.7,32.5,NONE
IGV,6,5.33,ORCL,Oracle Corporation,Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,13,FOLLOWER,24.1,10.4,4.0,83.7,79.6,-6.4,NONE
IGV,7,4.82,NOW,"ServiceNow, Inc.",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,39,FOLLOWER,50.3,24.5,62.3,95.0,32.7,37.9,BREAKOUT_RECENT
IGV,8,3.74,ADBE,Adobe Inc.,Computer Sftwr-Design,Technology Services,LOSING,50,58.1,66.4,45.7,2,FOLLOWER,46.7,24.5,57.8,86.0,28.2,33.3,BREAKOUT_WATCH
IGV,9,3.36,FTNT,"Fortinet, Inc.",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,5,LEADER,82.1,96.0,76.4,66.6,-9.8,-19.5,NONE
IGV,10,3.14,INTU,Intuit Inc.,Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,17,FOLLOWER,35.0,4.4,47.5,82.0,34.5,43.1,NONE
IGV,11,2.95,CDNS,"Cadence Design Systems, Inc.",Computer Sftwr-Design,Technology Services,LOSING,50,58.1,66.4,45.7,10,FOLLOWER,32.2,48.6,13.2,42.9,29.7,-35.4,NONE
IGV,12,2.66,SNPS,"Synopsys, Inc.",Computer Sftwr-Design,Technology Services,LOSING,50,58.1,66.4,45.7,6,FOLLOWER,41.2,44.5,21.5,81.1,59.6,-23.0,NONE
IGV,13,2.48,DDOG,"Datadog, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,50,FOLLOWER,41.6,82.4,16.4,9.4,-7.0,-66.0,NONE
IGV,14,2.41,APP,AppLovin Corp. Class A,Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,27,FOLLOWER,5.9,3.6,1.7,3.0,1.3,-1.9,NONE
IGV,15,1.73,ADSK,"Autodesk, Inc.",Computer Sftwr-Design,Technology Services,LOSING,50,58.1,66.4,45.7,5,FOLLOWER,41.8,17.8,52.1,77.2,25.1,34.3,NONE
IGV,16,1.39,MSTR,Strategy Inc Class A,Finance - Crypto/Blockchain,Technology Services,LOSING,57,49.6,65.4,25.9,11,FOLLOWER,32.9,11.6,20.6,97.3,76.7,9.0,NONE
