strategy,period,n,start,end_date,end,cagr,mdd,vol,sharpe0,calmar,worst_5d,worst_10d,worst_20d,avg_core_weight,avg_tqqq_weight,avg_panic_exposure,max_total_exposure,cap_breach_days
BASE_CORE70_CURRENT30,ALL,2568,2016-01-04,2026-03-20,27.79414590378846,0.38505848765770234,-0.4694481235049974,0.32784042482084885,1.1595637719255016,0.8202365040524084,-0.19819602608755615,-0.23296224374367003,-0.2522133010135019,0.592275762015952,0.3171359822180519,0.027226531124471525,1.0,0
BASE_CORE70_CURRENT30,DISCOVERY,1511,2016-01-04,2021-12-31,11.126062245616223,0.4950840955052487,-0.2594899248961072,0.31939931640994473,1.4181609164632503,1.9079125931516108,-0.18986018215620504,-0.19983815059699384,-0.2522133010135019,0.5815105377341382,0.3478358205719093,0.026502660933992866,1.0,0
BASE_CORE70_CURRENT30,CONFIRM,1057,2022-01-03,2026-03-20,2.4981116670221346,0.24304212341523357,-0.4694481235049974,0.3395883907561723,0.8129604470868935,0.5177188090573895,-0.19819602608755615,-0.23296224374367003,-0.24130994165287367,0.6076648385436916,0.2732500259714308,0.02826131623120119,1.0,0
EXACT_REBOUND_STAGE56_FLOOR80,ALL,2568,2016-01-04,2026-03-20,42.474586502595464,0.44381759347777394,-0.46944812350499765,0.343238561970594,1.2438867647893819,0.9454028491244979,-0.19819602608755615,-0.23296224374367003,-0.2522133010135019,0.5761112765310962,0.3390207174205441,0.027226531124471525,1.0,0
EXACT_REBOUND_STAGE56_FLOOR80,DISCOVERY,1511,2016-01-04,2021-12-31,13.49169301253897,0.5439805213129358,-0.3003457419304021,0.3434626255705916,1.4356083621038154,1.8111810669151762,-0.18986018215620504,-0.2104345962373908,-0.2522133010135019,0.5580092811324772,0.3798675876136035,0.026502660933992866,1.0,0
EXACT_REBOUND_STAGE56_FLOOR80,CONFIRM,1057,2022-01-03,2026-03-20,3.1482028580935193,0.3132769545766876,-0.4694481235049972,0.34299261891819527,0.9691721545153019,0.6673302946397928,-0.19819602608755615,-0.23296224374367003,-0.24130994165287367,0.601988395781156,0.28062940156272687,0.02826131623120119,1.0,0
EXACT_REBOUND_TQQQ80_CAP,ALL,2568,2016-01-04,2026-03-20,42.474586502595464,0.44381759347777394,-0.46944812350499765,0.343238561970594,1.2438867647893819,0.9454028491244979,-0.19819602608755615,-0.23296224374367003,-0.2522133010135019,0.5761112765310962,0.3390207174205441,0.027226531124471525,1.0,0
EXACT_REBOUND_TQQQ80_CAP,DISCOVERY,1511,2016-01-04,2021-12-31,13.49169301253897,0.5439805213129358,-0.3003457419304021,0.3434626255705916,1.4356083621038154,1.8111810669151762,-0.18986018215620504,-0.2104345962373908,-0.2522133010135019,0.5580092811324772,0.3798675876136035,0.026502660933992866,1.0,0
EXACT_REBOUND_TQQQ80_CAP,CONFIRM,1057,2022-01-03,2026-03-20,3.1482028580935193,0.3132769545766876,-0.4694481235049972,0.34299261891819527,0.9691721545153019,0.6673302946397928,-0.19819602608755615,-0.23296224374367003,-0.24130994165287367,0.601988395781156,0.28062940156272687,0.02826131623120119,1.0,0
EXACT_REBOUND_BALANCED50,ALL,2568,2016-01-04,2026-03-20,35.99248121399676,0.42058225373198366,-0.46944812350499776,0.33363424554875404,1.2212759667911712,0.8959078387444148,-0.19819602608755615,-0.23296224374367003,-0.2522133010135019,0.5854570709236195,0.32967492302802076,0.027226531124471525,1.0,0
EXACT_REBOUND_BALANCED50,DISCOVERY,1511,2016-01-04,2021-12-31,12.728780473005536,0.5290507082696891,-0.2759673788130883,0.32863762772376925,1.4557647340946072,1.9170769767973672,-0.18986018215620504,-0.19983815059699384,-0.2522133010135019,0.57151027385253,0.3663665948935506,0.026502660933992866,1.0,0
EXACT_REBOUND_BALANCED50,CONFIRM,1057,2022-01-03,2026-03-20,2.8276456876860676,0.28018768393091364,-0.4694481235049981,0.3407044872814251,0.898202199924256,0.5968448267275491,-0.19819602608755615,-0.23296224374367003,-0.24130994165287367,0.6053942614386774,0.2772235359052056,0.02826131623120119,1.0,0
EXACT_REBOUND_STOCK80,ALL,2568,2016-01-04,2026-03-20,29.965345397269918,0.39530286893824607,-0.46944812350499754,0.32875282063751726,1.1797383248146793,0.8420586836876297,-0.19819602608755615,-0.23296224374367003,-0.2522133010135019,0.5948028653161429,0.3203291286354974,0.027226531124471525,1.0000000000000002,0
EXACT_REBOUND_STOCK80,DISCOVERY,1511,2016-01-04,2021-12-31,11.81981125305358,0.5102564911194987,-0.2560962848876429,0.3209555708244888,1.4443169015456112,1.992440036150323,-0.18986018215620504,-0.19983815059699384,-0.2522133010135019,0.585011266572583,0.3528656021734976,0.026502660933992866,1.0000000000000002,0
EXACT_REBOUND_STOCK80,CONFIRM,1057,2022-01-03,2026-03-20,2.5351796873684047,0.24740064032223974,-0.4694481235049973,0.33962564759248426,0.8232602733718719,0.5270031510086676,-0.19819602608755615,-0.23296224374367003,-0.24130994165287367,0.6088001270961987,0.2738176702476843,0.02826131623120119,1.0000000000000002,0
EXACT_REBOUND_TQQQ80_CAP_NO_PANIC,ALL,2568,2016-01-04,2026-03-20,35.457083988377605,0.4184979181784769,-0.4705025796463701,0.34542353526499675,1.186823035102841,0.8894699758990059,-0.19819602608755615,-0.23483305997281734,-0.2629904091969596,0.5911604361370717,0.34096573208722736,0.0,1.0,0
EXACT_REBOUND_TQQQ80_CAP_NO_PANIC,DISCOVERY,1511,2016-01-04,2021-12-31,11.890298359018077,0.5117562023205859,-0.3171568857992485,0.34649369763405224,1.3651594442620296,1.613574307336696,-0.18986018215620504,-0.2104345962373908,-0.2629904091969596,0.5741230972865653,0.3825943084050297,0.0,1.0,0
