strategy,cagr_median,cagr_p05,mdd_median,mdd_p05,cagr_delta_median,cagr_delta_p05,probability_cagr_beats_base,probability_mdd_beats_base
AGGRESSIVE_TQQQ_NORMAL,0.5625198741880821,0.2620548997905004,-0.4666911148412105,-0.6345376641374776,0.1485472751095751,0.0024770358626175076,0.951,0.421
BASE_CORE70_CURRENT30,0.41429527464617977,0.15350500217973945,-0.4466755003335869,-0.6560735939966491,0.0,0.0,0.0,0.0
EXACT_REBOUND_BALANCED50,0.4503058773156756,0.1751404173715226,-0.43927381016549444,-0.6415797091725721,0.03694604439627269,0.007244861860480101,0.974,0.626
EXACT_REBOUND_STAGE56_FLOOR80,0.4758707060201103,0.19851342847710216,-0.44164196457245986,-0.6471224569818613,0.06093381893331984,0.006867693075488139,0.969,0.515
EXACT_REBOUND_STOCK80,0.426435113377431,0.16053816457748232,-0.4420390086751482,-0.6518282064958748,0.010510576126147586,-0.003355459382521675,0.884,0.559
EXACT_REBOUND_TQQQ80_CAP,0.4758707060201103,0.19851342847710216,-0.44164196457245986,-0.6471224569818613,0.06093381893331984,0.006867693075488139,0.969,0.515
EXACT_REBOUND_TQQQ80_CAP_NO_PANIC,0.45092455643636364,0.16807997394590685,-0.45446389941024024,-0.6557143256831087,0.03553309010442218,-0.019602592876245092,0.859,0.357
