event,start,end,days,core12_return,tqqq_return,panic_stock_increment,vix_phases
1,2016-06-29,2016-07-12,9,-0.021470778676201174,0.25376414397078983,0.0027967629465501798,NORMAL
2,2018-02-07,2018-02-21,10,0.018412722649946867,0.19405063279126367,0.0007232956531444401,"BOTTOM,EVENT,NORMAL,REARM,ROLLOVER"
3,2018-03-26,2018-04-09,10,0.03321206671975174,-0.10026300813437805,0.0,NORMAL
4,2019-08-07,2019-08-20,10,0.021821160787646843,0.08268686109077006,-0.003649694320138619,NORMAL
5,2021-03-01,2021-03-12,10,0.040954113398739445,-0.03562335921844928,0.007686065664392672,NORMAL
6,2021-05-14,2021-05-26,9,0.01411570829983888,0.12980158753232285,0.015426014978551894,NORMAL
7,2021-09-22,2021-10-05,10,0.014770221131318761,-0.11382787164195018,-0.0015291557193181093,NORMAL
8,2024-08-07,2024-08-14,6,-0.006314562637269261,0.1821540873058145,0.0,"BOTTOM,NORMAL,REARM,ROLLOVER"
9,2025-11-24,2025-12-02,6,-0.03205678000246681,0.16606207381447402,0.0004141762487122058,NORMAL
