feature,sector_neutral,dates,groups,n_group_sum,spread,ci_lo,ci_hi,positive_date_fraction,sample
flip_cap,False,6,6,1567,0.010039073687149078,0.0033558882807094323,0.015791268577511702,0.8333333333333334,strict_common
log_oi,False,6,6,1567,0.017589263897704665,0.008751839643705293,0.027339385947265205,1.0,strict_common
log_strikes,False,6,6,1567,-0.009495551956891687,-0.027878142033324754,0.007988323517361236,0.3333333333333333,strict_common
log_wall_rr,False,6,6,1567,-0.008789129494552708,-0.0162017747080029,-0.001141847827760038,0.16666666666666666,strict_common
signed_log_gex_per_oi,False,6,6,1567,0.005704302745789885,-0.0035846877539661742,0.016123718666401235,0.6666666666666666,strict_common
