side,distance,n,dates,touch5,break5,hold_given_touch,mean_r5,mean_r5_exqqq
Call,0-0.5ATR,706,10,0.7536842105263157,0.5221052631578947,0.3072625698324022,-0.0021700669113737104,0.00030141857274179374
Call,0.5-1ATR,697,10,0.49002217294900224,0.29933481152993346,0.3891402714932126,-0.0009613554796056197,-1.1126876379350215e-05
Call,1-2ATR,1076,10,0.2268760907504363,0.1169284467713787,0.48461538461538467,-0.006053888899229431,-0.008211621041746785
Call,2ATR+,1205,10,0.023668639053254437,0.013806706114398421,0.41666666666666663,-0.008989669320795085,-0.015090026750556472
Put,0-0.5ATR,799,10,0.8323699421965318,0.6204238921001927,0.25462962962962965,-0.00325501417100177,-0.0010922863760218877
Put,0.5-1ATR,734,10,0.5563218390804597,0.38850574712643676,0.30165289256198347,-0.002960799400373666,-0.0028294049114196067
Put,1-2ATR,1010,10,0.2967479674796748,0.17479674796747968,0.410958904109589,-0.0044041316434932296,-0.00648127537070504
Put,2ATR+,1130,10,0.05063291139240506,0.034358047016274866,0.3214285714285714,-0.009294223175193175,-0.014540955083848481
