date,ticker,source,expiry,confidence,regime,session_consistent,sector,industry,spot,atr14,call_wall,put_wall,gamma_flip,net_gex,total_oi,n_strikes,dte,call_oi,put_oi,expected_move,expected_move_pct,dvol_m,close,ret1_today,gap,ema21,vwap63,hv20,ret20,dist20hi,above_ema21,above_vwap63,call_dist_atr,put_dist_atr,flip_dist_atr,wall_rr,cp_balance,gex_per_oi,implied_vs_realized,sector_ret20,qqq_ret20,qqq_above_ema21,spy_ret20,spy_above_ema21,r1,mfe1,mae1,r1_exqqq,r3,mfe3,mae3,r3_exqqq,r5,mfe5,mae5,r5_exqqq,r10,mfe10,mae10,r10_exqqq,call_touch5,call_break5,put_touch5,put_break5,expiry_return,expiry_inside_expected,expiry_move_ratio,broad_direction_score
2026-08-18,A,SCAN,2026-08-21,OK,POSITIVE_GAMMA,,Health Technology,Medical Specialties,148.44,3.0293,150.0,,120.45884591778326,450529.47,6633.0,15.0,,,,,,,148.44000244140625,-6.732574632128951e-05,0.004984880487549415,143.15654651739925,132.6372118710669,0.23001999255102906,0.11726630859160769,-0.011980850545427524,1.0,1.0,0.5149704552206787,,9.236838240589156,,,67.92242876526458,,0.07576068757047705,0.012045699275570643,1.0,0.025618728496829446,1.0,0.04695500610392678,0.05268116368103981,0.010509280065591042,0.04894799945080475,0.07113983686952641,0.08131225994956504,0.010509280065591042,0.07681224180997903,0.042643503954086226,0.08131225994956504,0.010509280065591042,0.05210684100873997,0.010037659726953585,0.10313929740493677,0.004985113326625656,0.02379355857554466,1.0,1.0,,,0.07113983686952641,,,73
2026-08-19,A,SCAN,2026-08-21,OK,POSITIVE_GAMMA,,Health Technology,Medical Specialties,155.41,3.3686,160.0,150.0,115.34634670083588,1354029.12,6763.0,14.0,,,,,,,155.41000366210938,0.04695500610392678,0.017717628937998997,144.27049716691835,133.59993054949103,0.2708219748018295,0.16446872354279196,-0.005439593463504089,1.0,1.0,1.3625838627322935,1.6060084308021128,11.893265243473287,0.8484288354898348,,200.21131450539704,,0.12540325143433673,0.015212365315519838,1.0,0.02896673203727218,1.0,0.005726783145719949,0.0291486948880455,-0.021169863376845233,0.012918750930259293,-0.012740563282097606,0.03281636139598132,-0.021169863376845233,0.0008892120679949711,-0.0021234272136829713,0.03281636139598132,-0.021169863376845233,0.00445408069080766,-0.025867088203673116,0.05366447552516207,-0.0502541495049067,-0.016315045565663655,1.0,0.0,0.0,0.0,0.02310016249466118,,,74
2026-08-24,A,SCAN,2026-09-18,MEDIUM,UNKNOWN,,Health Technology,Medical Specialties,153.43,3.9843,155.0,140.0,,1413077.86,7808.0,18.0,,,,,,,153.42999267578125,-0.03503149260514937,-0.011760975579795607,147.22428744242197,136.04574219563798,0.27026789733362616,0.11269847962084634,-0.04410941420070358,1.0,1.0,0.3940466330346593,3.3707301157041405,,0.11690245718540523,,180.97820952868852,,0.09263233157656225,0.03547764671943643,0.0,0.03298643326494766,1.0,0.008733700453934734,0.011275572371197917,-0.007560375798045693,0.002504281304992917,0.027765169582110172,0.06726199450472725,-0.007560375798045693,0.006825683408735017,0.0008473237894706109,0.06726199450472725,-0.011666514837912478,-0.013933515395528007,,,,,1.0,1.0,0.0,0.0,-0.01675025867243851,,,48
2026-09-04,A,SCAN,2026-09-18,MEDIUM,POSITIVE_GAMMA,True,Health Technology,Medical Specialties,150.86,5.175,155.0,145.0,139.0574037457531,2777182.02,13084.0,18.0,14.0,8529.0,4555.0,6.475,0.042921,347.6,150.86000061035156,0.005867481716769429,-0.006734194796689685,150.2707115798496,139.93666482244356,0.2804697783783267,0.03350002979211375,-0.07871755352457066,1.0,1.0,0.7999999999999974,1.1323671497584569,2.2806949283568905,0.7064846416382212,0.5340602649783093,212.25787373891777,0.649262041652893,0.02381609313726407,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,69
2026-08-24,AA,SCAN,2026-09-04,HIGH,NEAR_FLIP,,Non-Energy Minerals,Aluminum,49.39,2.4332,56.0,40.0,50.361368928579886,-110935.49,10863.0,34.0,,,,,,,49.38999938964844,-0.0474445353301306,-0.006750211849973042,49.71706100955979,54.606414804621025,0.5375221791099648,0.12046273452858203,-0.10281562081479023,0.0,0.0,2.7165872102580964,3.859115567976328,-0.39921458514708413,0.7039403620873269,,-10.212233268894412,,0.2597419410077727,0.03547764671943643,0.0,0.03298643326494766,1.0,0.03826684375389067,0.039481692387875356,-0.003037005730619158,0.03203742460494885,0.03644460942102801,0.043328597207817676,-0.003037005730619158,0.015505123247652852,0.011338355541838485,0.046811101502924224,-0.003037005730619158,-0.0034424836431601324,,,,,0.0,0.0,0.0,0.0,0.0117433050864999,,,18
2026-09-04,AA,SCAN,2026-09-18,HIGH,POSITIVE_GAMMA,True,Non-Energy Minerals,Aluminum,49.97,2.2229,55.0,47.0,45.24625208505684,1382048.24,35559.0,29.0,14.0,22077.0,13482.0,3.645,0.072944,232.7,49.970001220703125,-0.021155691136100607,-0.014299697417162194,50.22166182325623,51.60196886655886,0.48800177988887444,-0.003986385400467918,-0.09227971093117626,0.0,0.0,2.262809842997886,1.3360924917900034,2.125038425004796,1.6936026936026947,0.6106807990216062,38.8663415731601,0.6341681424844422,0.022912207408664398,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,52
2026-09-04,AAL,SCAN,2026-09-18,MEDIUM,NEGATIVE_GAMMA,True,Transportation,Airlines,13.13,0.3771,14.0,12.0,13.829603859166388,-2017043.05,332690.0,15.0,14.0,121691.0,210999.0,0.885,0.067403,776.0,13.130000114440918,0.012336148351426601,-0.0007710276542751693,13.937858781267083,15.62728888011645,0.33946821983998604,-0.17628604390934444,-0.16687817742674715,0.0,0.0,2.3070803500397754,2.996552638557414,-1.8552210532123776,0.7699115044247776,0.5767373305086754,-6.0628304126965045,0.8423961169876117,0.000823861038150353,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,23
2026-09-04,AAMI,SCAN,2026-09-18,LOW,UNKNOWN,True,Finance,Investment Managers,93.58,2.7443,95.0,85.0,,2892.79,78.0,8.0,14.0,49.0,29.0,6.1,0.065185,33.5,93.58000183105469,0.014527363381601877,-0.017996488195571203,91.63642272760153,82.17204456522414,0.26467098103858056,0.04151367190070587,-0.05014205217555068,1.0,1.0,0.5174361403636635,3.126480341070582,,0.16550116550116573,0.5918367346938775,37.087051282051284,1.0449068957414622,-0.01137155035735693,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,53
2026-08-27,AAOI,SCAN,2026-09-11,HIGH,UNKNOWN,,Electronic Technology,Semiconductors,113.76,15.6579,140.0,110.0,,-397038.18,5153.0,67.0,,,,,,,113.27999877929688,-0.004219438712376067,0.028744695689707278,122.27043985752003,140.57840348415658,1.4214229289918743,0.25713015216963186,-0.29635384238739615,0.0,0.0,1.675831369468447,0.24013437306407662,,6.978723404255309,,-77.04990879099553,,0.0123749009176648,0.054948428394924864,1.0,0.03965264874505925,1.0,-0.062235129752241325,-0.02100986298609442,-0.07176904432403486,-0.05574514518560181,-0.08730578651326704,-0.02100986298609442,-0.1063735483069721,-0.06862629104551532,-0.11387713334118188,-0.02100986298609442,-0.14406779546864612,-0.10910670648357967,,,,,0.0,0.0,1.0,1.0,-0.06841454875983277,,,47
2026-09-04,AAOI,SCAN,2026-09-18,HIGH,UNKNOWN,True,Electronic Technology,Semiconductors,105.53,10.1374,110.0,100.0,,-1409472.84,29794.0,35.0,14.0,10289.0,19505.0,14.1,0.133611,1025.8,105.52999877929688,0.05130505744961611,0.015242144356995446,114.40107354678891,133.5785585966009,1.114741399445372,-0.22192733923089314,-0.34449347674705266,0.0,0.0,0.44094146428078196,0.5455047645352853,,0.8083182640144662,0.5275057677518585,-47.30727126267034,0.5085156657218721,-0.09937068588937198,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,38
