date,n,top_n,bottom_n,top,bottom,spread,feature,horizon,note
2026-08-18,606,43,70,0.01684027926455324,-0.00915678903111428,0.02599706829566752,tech_score,1,higher=bullish
2026-08-19,604,131,166,0.004262332271150624,-0.001561689799064395,0.0058240220702150194,tech_score,1,higher=bullish
2026-08-21,56,5,15,0.00851216574579074,-0.0035090411281450276,0.012021206873935767,tech_score,1,higher=bullish
2026-08-24,728,42,84,-0.009626448822394596,0.0010429111384872675,-0.010669359960881863,tech_score,1,higher=bullish
2026-08-25,82,11,27,-0.0120686705065716,0.007526119214184689,-0.01959478972075629,tech_score,1,higher=bullish
2026-09-01,92,5,11,-0.00656535574174984,0.019457601215646884,-0.026022956957396724,tech_score,1,higher=bullish
2026-09-02,64,10,22,-0.009237738019241059,0.0006851706774619408,-0.009922908696703,tech_score,1,higher=bullish
2026-09-03,63,8,22,-0.019026253933030198,0.0045522372601148045,-0.023578491193145003,tech_score,1,higher=bullish
2026-08-18,606,65,94,0.005895996487032133,0.001025151398775682,0.004870845088256451,options_score,1,higher=bullish
2026-08-19,604,121,88,-0.0009952966715380636,-0.0034887965682931705,0.002493499896755107,options_score,1,higher=bullish
2026-08-21,56,12,7,0.005935505694486202,0.012394820116883257,-0.0064593144223970556,options_score,1,higher=bullish
2026-08-24,728,139,121,-0.005246325374548877,-0.008137752162835674,0.002891426788286797,options_score,1,higher=bullish
2026-08-25,82,17,11,-0.0033928079929003837,0.015032801680024794,-0.018425609672925176,options_score,1,higher=bullish
2026-08-27,55,8,5,-0.013070941419923578,-0.018611559787151462,0.005540618367227884,options_score,1,higher=bullish
2026-09-01,92,13,19,0.0036102193006463616,0.0015752529777496261,0.0020349663228967354,options_score,1,higher=bullish
2026-09-02,64,18,12,-0.012299483033458134,0.0004094803788588254,-0.012708963412316959,options_score,1,higher=bullish
2026-09-03,63,14,8,-0.0009591031652987071,-0.009090602673409299,0.008131499508110592,options_score,1,higher=bullish
2026-08-18,606,177,137,0.012183115424525623,0.0012689828462604678,0.010914132578265155,combined_score_rebuilt,1,higher=bullish
2026-08-19,604,112,130,0.0008243675731484627,-0.0034810896703614796,0.004305457243509943,combined_score_rebuilt,1,higher=bullish
2026-08-21,56,12,11,0.0043206308258648025,-0.0030501569481414083,0.007370787774006211,combined_score_rebuilt,1,higher=bullish
2026-08-24,728,140,145,-0.0074006139174457725,-0.00482837812890947,-0.002572235788536302,combined_score_rebuilt,1,higher=bullish
2026-08-25,82,17,17,-0.00910745085427006,0.013017211311322462,-0.022124662165592522,combined_score_rebuilt,1,higher=bullish
