kind,side,bucket,n,dates,touch5,break5,hold_given_touch,mean_5d_exqqq,mean_mfe5,mean_mae5
distance_bin,call,0-0.5ATR,706,10,0.7536842105263157,0.5221052631578947,0.30726256983240224,0.00030141857274180274,0.034314636009020065,-0.0359355495891368
distance_bin,call,0.5-1ATR,697,10,0.49002217294900224,0.29933481152993346,0.3891402714932127,-1.1126876379345263e-05,0.03453479135446427,-0.03431590127097427
distance_bin,call,1-2ATR,1076,10,0.2268760907504363,0.1169284467713787,0.4846153846153846,-0.008211621041746778,0.03139996589301366,-0.03331525093992167
distance_bin,call,2ATR+,1205,10,0.023668639053254437,0.013806706114398421,0.4166666666666667,-0.015090026750556453,0.027184002999316618,-0.033122610669311374
distance_bin,put,0-0.5ATR,799,10,0.8323699421965318,0.6204238921001927,0.25462962962962965,-0.0010922863760218812,0.034383004872440046,-0.03737255038793408
distance_bin,put,0.5-1ATR,734,10,0.5563218390804597,0.38850574712643676,0.30165289256198347,-0.0028294049114196045,0.03177405291089347,-0.03254724845603075
distance_bin,put,1-2ATR,1010,10,0.2967479674796748,0.17479674796747968,0.410958904109589,-0.006481275370705032,0.03181331660556141,-0.03225022156805615
distance_bin,put,2ATR+,1130,10,0.05063291139240506,0.034358047016274866,0.32142857142857145,-0.014540955083848462,0.026056123625083798,-0.0333026962827346
directional_quintile,,call_dist_atr,1843,6,,,,-0.0014356899904213426,-0.012019686088255028,0.007610762526520372
directional_quintile,,put_dist_atr,1836,6,,,,0.015627827918095825,0.001847242855102186,0.029499431884115013
directional_quintile,,wall_rr,1693,6,,,,-0.009255965668640885,-0.016544855741793225,-0.00222270146775819
