test,dates,n_sum,mean_std_coef,ci_lo,ci_hi,positive_date_fraction
flip | base+depth,5,1843,-0.0009423838723744554,-0.00399159281250637,0.0019686724730977713,0.4
flip | base+depth+wall+gex,4,1500,0.0013592115114177323,0.00018514038218282223,0.0033665009594591963,1.0
gex | base+depth,6,2019,-0.0004900638106925824,-0.002430344062043911,0.0014077188349998643,0.6666666666666666
log_oi | base+strikes,6,2019,0.004736949001899505,0.003435488674273398,0.006257216850689406,1.0
log_strikes | base+oi,6,2019,-0.0006039924309105922,-0.0041927193873367045,0.002628533487667163,0.5
wall_rr | base+depth,6,1693,-0.0023382788492561086,-0.004983701032178933,0.0003080723129808456,0.3333333333333333
