condition,horizon,n,dates,tickers,mean_exqqq,ci_lo,ci_hi,raw_mean,median_exqqq,win_exqqq,p_boot,q_bh
Net GEX >0,10,877,4,502,-0.001620702014418828,-0.011155750572023433,0.0004562448028085733,-0.012342452964450362,-0.001713049655411636,0.48346636259977194,0.5495420482930891,0.9711110306628534
Put Wall 0.5-1ATR,10,257,3,220,-0.0017849961453515154,-0.006000316372845376,0.0011798606525852643,-0.012618213121778946,-0.003242223081581841,0.4708171206225681,0.5253955037468776,0.9711110306628534
OI >=5k,10,897,3,463,-0.0029418242217900065,-0.007649097912965151,0.0006749958263102072,-0.014237665657696557,-0.0029988967463888683,0.47714604236343366,0.4454621149042465,0.9711110306628534
20d return >10%,10,333,4,205,-0.0038033610297712912,-0.022588164653368544,8.511365343629034e-05,-0.01398725615834216,0.0030776099226802467,0.5255255255255256,0.47293921731890093,0.9711110306628534
Normal move day |r|<5%,10,1151,4,637,-0.005161900021697371,-0.019590892356806645,0.0011068847143395134,-0.015747756826012354,-0.005758177014465571,0.44917463075586445,0.514571190674438,0.9711110306628534
Call Wall 0.5-1ATR,10,295,3,261,-0.006957099944868725,-0.015317429497384788,0.0057844043458944415,-0.01779789473692616,-0.007240730005705354,0.4542372881355932,0.5636969192339717,0.9711110306628534
Large move day |r|>=5%,10,125,4,107,-0.03544681497582996,-0.08418261386059075,0.00540525173639602,-0.04659161080129775,-0.04419831800396268,0.352,0.5087427144046628,0.9711110306628534
QQQ > EMA21,10,1210,2,620,-0.007520112649439795,,,-0.019177557654071125,-0.0065777549600185,0.4471074380165289,,
QQQ < EMA21,10,66,2,58,-0.019285795320155497,,,-0.011284465082975457,-0.02307509633204352,0.30303030303030304,,
Bear combo Flip-/EMA/VWAP/RR,10,34,2,30,-0.03739906044877581,,,-0.047940245724569175,-0.04597529310236137,0.23529411764705882,,
