stratum,dates,groups,n_group_sum,spread_5d_exqqq,ci_lo,ci_hi,positive_date_fraction
ALL,6,6,1877,0.009480035211713414,0.002837406140220226,0.015494669662152535,0.8333333333333334
QQQ above EMA21,3,3,1181,0.016202582032488252,0.013345616350670268,0.01987308257750092,1.0
QQQ below EMA21,3,3,696,0.00275748839093857,-0.003312390231218449,0.011141572947279276,0.6666666666666666
Sector momentum >=0,4,4,1407,0.007426621948244593,0.0012813432081266135,0.012086508110471484,0.75
Sector momentum <0,3,3,381,0.00351419872819173,-0.009331327347869522,0.020309155580967325,0.3333333333333333
OI>=5k & strikes>=20,3,3,675,0.005248942041807268,-0.014364382041311184,0.023086141082757455,0.6666666666666666
OI<5k or strikes<20,6,6,1199,0.009737195040727885,0.0033832152146065623,0.016188208938856183,1.0
SCAN source,6,6,1877,0.009480035211713414,0.00275748839093857,0.01583524146525642,0.8333333333333334
