ticker,label,price_quality,price_score_56,rs63_rank_56,rs189_rank_56,ret_1d_pct,ret_5d_pct,ret_20d_pct,holdings_adapter,exact_flow_adapter,source_members,downloaded_members,source_member_coverage,internal_score_56,internal_delta20_56,internal_score_available_cross_section,internal_delta20_available_cross_section,flow_asof,flow_1d_usd,flow_5d_usd,flow_20d_usd,flow_20d_pct_aum,flow_provider,quality,state,breadth21,breadth21_rank_56,breadth50,breadth50_rank_56,ad20_score,ad20_score_rank_56,obv_positive20,obv_positive20_rank_56,updown_volume20,updown_volume20_rank_56
REMX,レアアース,MARKET_PRICE_SERIES,21.81818181818182,9.090909090909092,34.54545454545455,0.12916362243109436,-2.7962424538352293,14.623687403962759,PASS,DATA_REQUIRED,35.0,12.0,0.34285714285714286,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
PPH,製薬,MARKET_PRICE_SERIES,61.81818181818182,85.45454545454545,38.18181818181819,-0.4752692329463848,-2.918957269824385,4.096478588005037,PASS,DATA_REQUIRED,26.0,25.0,0.9615384615384616,73.91304347826086,17.39130434782608,73.91304347826086,17.39130434782608,,,,,,,MEASURED_PRICE_INTERNAL_FLOW_MISSING,VALIDATION_REQUIRED,48.0,56.52173913043478,68.0,69.56521739130434,55.888888888888886,91.30434782608695,72.0,73.91304347826086,1.5173457260311636,82.6086956521739
PKB,建設,MARKET_PRICE_SERIES,27.272727272727273,40.0,14.545454545454545,-1.1020426847496823,-2.992698812499406,-5.848070846790144,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
BOAT,海運,MARKET_PRICE_SERIES,98.18181818181819,98.18181818181819,98.18181818181819,-0.6533272719781769,-3.0484136703735176,10.21517138315302,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
XRT,小売,MARKET_PRICE_SERIES,40.90909090909091,65.45454545454545,16.363636363636363,-0.9091965946330327,-3.0951041612015118,-5.860486184130675,PASS,PASS,75.0,75.0,1.0,8.695652173913043,-65.21739130434781,8.695652173913043,-65.21739130434781,2026-08-31,0.0,-416490.800000336,-109741783.9499998,-30.312002090706557,SSGA,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,29.333333333333332,47.82608695652174,33.33333333333333,47.82608695652174,44.22222222222222,8.695652173913043,30.666666666666664,8.695652173913043,0.7675447633593174,4.3478260869565215
XHB,住宅建設,MARKET_PRICE_SERIES,28.181818181818183,49.09090909090909,7.2727272727272725,-1.7112819709745986,-3.274064659853826,-3.3377237978431396,PASS,PASS,33.0,33.0,1.0,17.391304347826086,-21.73913043478261,17.391304347826086,-21.73913043478261,2026-08-31,5142166.5,26455620.450000238,556823.1499999017,0.0418091029105851,SSGA,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,9.090909090909092,21.73913043478261,12.121212121212121,8.695652173913043,46.21212121212122,17.391304347826086,33.33333333333333,17.391304347826086,0.7854479698787983,8.695652173913043
XAR,宇宙・防衛,MARKET_PRICE_SERIES,36.36363636363636,32.72727272727273,40.0,-2.013071301132441,-3.4223097169555072,-6.252975026064245,PASS,PASS,47.0,47.0,1.0,26.08695652173913,-13.043478260869566,26.08695652173913,-13.043478260869566,2026-08-31,-6415334.249999999,13547465.82500004,57362163.27500007,0.9804182676516884,SSGA,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,2.127659574468085,4.3478260869565215,21.27659574468085,26.08695652173913,47.22222222222222,26.08695652173913,46.808510638297875,34.78260869565217,1.128727907744846,56.52173913043478
WGMI,BTCマイニング,MARKET_PRICE_SERIES,2.727272727272727,1.8181818181818181,3.6363636363636362,0.7025743131155338,-3.6414565826330514,-21.461187214611876,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
JETS,航空,MARKET_PRICE_SERIES,40.90909090909091,45.45454545454545,36.36363636363637,-2.3303642839755834,-3.943377395636627,-12.763998783780561,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
GDX,金鉱,MARKET_PRICE_SERIES,76.36363636363636,90.9090909090909,61.81818181818181,-1.1440033840364627,-4.858024661792859,29.533199451927583,PASS,DATA_REQUIRED,65.0,31.0,0.47692307692307695,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
PEJ,レジャー,MARKET_PRICE_SERIES,51.81818181818181,61.81818181818181,41.81818181818181,-2.2869936388641543,-4.999265999221203,-2.155358276654351,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
