date,ticker,etfcom_value,flow_1d,provider,source_url,flow_5d,flow_20d,aum,flow_20d_pct_aum,validation_contract
2026-07-01,AIQ,-1.26619,-1266190.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-02,AIQ,0.871761,871761.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-06,AIQ,-0.797441,-797441.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-07,AIQ,-19.076,-19076000.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-08,AIQ,-1.01752,-1017520.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-21285390.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-09,AIQ,0.73488,734880.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-19284320.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-10,AIQ,3.84973,3849730.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-16306351.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-13,AIQ,0.145965,145965.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-15362945.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-14,AIQ,-0.141957,-141957.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,3571098.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-15,AIQ,0.561389,561389.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,5150007.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-16,AIQ,-0.790025,-790025.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,3625102.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-17,AIQ,-0.072193,-72193.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-296821.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-20,AIQ,-0.258692,-258691.99999999997,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-701478.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-21,AIQ,-25.7517,-25751700.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-26311221.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-22,AIQ,0.444055,444055.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-26428555.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-27,AIQ,-1.38696,-1386960.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-27025490.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-28,AIQ,-9.28028,-9280280.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-36233577.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-29,AIQ,-18.5286,-18528600.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-54503485.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-30,AIQ,868.047,868047000.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,839295215.0,,10169388531.9716,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-31,AIQ,-0.3385,-338500.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,838512660.0,795948722.0,10169388531.9716,7.826908368164046,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-03,AIQ,-764.847,-764847000.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,75052620.0,32367912.0,10169388531.9716,0.31828769151889846,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-04,AIQ,10.4539,10453900.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,94786800.0,41950051.0,10169388531.9716,0.4125130126370233,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-05,AIQ,-0.422946,-422946.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,112892454.0,42324546.0,10169388531.9716,0.41619558409963014,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-06,AIQ,0.008547,8547.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-755145999.0,61409093.0,10169388531.9716,0.603862196895473,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-07,AIQ,-0.028169,-28169.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-754835668.0,62398444.0,10169388531.9716,0.6135909135915613,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-10,AIQ,0.089968,89968.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,10101300.0,61753532.0,10169388531.9716,0.6072492146981375,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-11,AIQ,1.28098,1280980.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,928380.0,59184782.0,10169388531.9716,0.5819895838764407,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-12,AIQ,4.06548,4065480.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,5416806.0,63104297.0,10169388531.9716,0.6205318717207631,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-13,AIQ,-0.243405,-243405.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,5164854.0,63002849.0,10169388531.9716,0.6195342896175613,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-14,AIQ,9.19845,9198450.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,14391473.0,71639910.0,10169388531.9716,0.7044662496154107,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-17,AIQ,2.44063,2440630.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,16742135.0,74870565.0,10169388531.9716,0.7362346788561966,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-18,AIQ,-0.433654,-433654.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,15027501.0,74509104.0,10169388531.9716,0.732680276358312,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-19,AIQ,-0.224966,-224966.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,10737055.0,74542830.0,10169388531.9716,0.7330119187170828,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-20,AIQ,1.14291,1142910.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,12123370.0,101437440.0,10169388531.9716,0.9974782621500815,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-21,AIQ,-0.969088,-969088.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,1955832.0,100024297.0,10169388531.9716,0.9835822152485671,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-24,AIQ,-17.8619,-17861900.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-18346698.0,83549357.0,10169388531.9716,0.8215769978433678,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-25,AIQ,-0.074502,-74502.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-17987546.0,92755135.0,10169388531.9716,0.9121013983130509,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-26,AIQ,-1.03067,-1030670.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-18793250.0,110253065.0,10169388531.9716,1.084166119264445,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-27,AIQ,-166.12,-166120000.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-186056160.0,-923913935.0,10169388531.9716,-9.085245706713847,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-28,AIQ,-18.0797,-18079700.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-203166772.0,-941655135.0,10169388531.9716,-9.259702606892489,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-08-31,AIQ,0.305736,305736.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/AIQ/charts?startDate=20260701&endDate=20260831,-184999136.0,-176502399.0,10169388531.9716,-1.735624501365968,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-01,ARKW,0.0,0.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/ARKW/charts?startDate=20260701&endDate=20260831,,,1817957700.0,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-02,ARKW,0.0,0.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/ARKW/charts?startDate=20260701&endDate=20260831,,,1817957700.0,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-06,ARKW,0.0,0.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/ARKW/charts?startDate=20260701&endDate=20260831,,,1817957700.0,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-07,ARKW,0.0,0.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/ARKW/charts?startDate=20260701&endDate=20260831,,,1817957700.0,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-08,ARKW,0.0,0.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/ARKW/charts?startDate=20260701&endDate=20260831,0.0,,1817957700.0,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
2026-07-10,ARKW,43.8096,43809600.0,ETFCOM_VALIDATED_ACTUAL,https://api-prod.etf.com/private/apps/fundflows/ARKW/charts?startDate=20260701&endDate=20260831,43809600.0,,1817957700.0,,ETF.com daily actual fund-flow fallback; USD-million chart scale validated against canonical issuer-derived references. Issuer exact flow remains preferred when its own unit QA is clean.
