sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider
CIBR,TENB,TENB,0.65,"Tenable Holdings, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,FSLY,FSLY,0.54,"Fastly, Inc. (Class A)",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,NTCT,NTCT,0.41,"NetScout Systems, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,ATEN,ATEN,0.29,"A10 Networks, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,ZD,ZD,0.27,"Ziff Davis, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,RDWR,RDWR,0.14,Radware Ltd.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,ATO.FP,ATO.PA,0.11,Atos Group,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
FAN,VWS.DC,VWS.CO,11.15,Vestas Wind Systems A/S,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ORSTED.DC,ORSTED.CO,7.68,Orsted A/S,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,NDX1.GY,NDX1.DE,7.42,Nordex SE,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,EDPR.PL,EDPR.LS,7.24,EDP Renewables SA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
