rule,period,input_signals,n,end,cagr,mdd,avg_exposure,max_exposure,max_concurrent,accepted,skipped_position_cap,skipped_theme_cap,confirmation_adds,turnover_nav
BASE_RS85_RSI30,DISCOVERY,1559,1511,1.0359659657597233,0.0059157773302900285,-0.03227761714958788,0.02554246786343421,0.04308506594922401,1,67,1492,0,0,3.9238881006025195
BASE_RS85_RSI30,CONFIRM,1414,1126,1.0830568227617028,0.01793921762304218,-0.025441833782360312,0.026733722046913568,0.05731640308110365,1,51,1363,0,0,3.0372048215098024
RSI_MIN_LE25P0,DISCOVERY,397,1511,1.02600618056723,0.0042949153746525415,-0.054953954471497424,0.018005570250663627,0.05636619758004364,1,47,350,0,0,2.7504527859375663
RSI_MIN_LE25P0,CONFIRM,280,1126,1.0022455657291602,0.000499976403242286,-0.035985872846088895,0.021148194835141385,0.045251552394974644,1,42,238,0,0,2.4406812231534905
RSI_MIN_LE27P5,DISCOVERY,813,1511,0.9934837471606951,-0.001090721326139743,-0.04838311561210362,0.022379851228688585,0.05636619758004365,1,59,754,0,0,3.4202075426913616
RSI_MIN_LE27P5,CONFIRM,657,1126,1.0296858992473399,0.006540351024086455,-0.03576842374869804,0.025143706805543908,0.04525155239497466,1,48,609,0,0,2.812239353876429
RSI_MIN_LE30P0,DISCOVERY,1559,1511,1.0359659657597233,0.0059157773302900285,-0.03227761714958788,0.02554246786343421,0.04308506594922401,1,67,1492,0,0,3.9238881006025195
RSI_MIN_LE30P0,CONFIRM,1414,1126,1.0830568227617028,0.01793921762304218,-0.025441833782360312,0.026733722046913568,0.05731640308110365,1,51,1363,0,0,3.0372048215098024
MC_GE20,DISCOVERY,936,1511,1.0451607988294898,0.007400666677355616,-0.03078005077467416,0.024493587544992392,0.04308506594922402,1,64,872,0,0,3.7570814642323453
MC_GE20,CONFIRM,734,1126,1.0722746612831788,0.015672144571007518,-0.02544183378235998,0.024082463405939728,0.057316403081103647,1,46,688,0,0,2.7420719791104338
MC_GE35,DISCOVERY,759,1511,1.0755324176985497,0.012229305900931742,-0.030792501689793528,0.023497755123225925,0.056366197580043645,1,61,698,0,0,3.615457531969754
MC_GE35,CONFIRM,440,1126,1.0260884611175745,0.00575563499540066,-0.025709148409775562,0.020924549467236913,0.057316403081103647,1,41,399,0,0,2.406461693568356
MC_GE50,DISCOVERY,509,1511,1.0406182905102823,0.006668455338409984,-0.021453143050701895,0.021022985806881365,0.05142226328671273,1,54,455,0,0,3.173213918327008
MC_GE50,CONFIRM,291,1126,0.9852738424549139,-0.003300590418126137,-0.027877702918998715,0.017219557129635892,0.03793570119122643,1,34,257,0,0,1.953550126539489
MC_GE65,DISCOVERY,233,1511,1.0076692945726597,0.001276163466128466,-0.03429651040909998,0.01561468973313451,0.05636619758004365,1,41,192,0,0,2.391582187656936
MC_GE65,CONFIRM,114,1126,1.0073739596122144,0.0016385599555710506,-0.023956898753332956,0.010787087986107734,0.03864323478393307,1,21,93,0,0,1.2294168443235738
MC_GE20_UP1,DISCOVERY,506,1511,1.1349259754466134,0.021352655135120413,-0.023552066851312725,0.022523014728179087,0.06202388774948922,1,57,449,0,0,3.427837538790767
MC_GE20_UP1,CONFIRM,445,1126,1.0841886606240592,0.018176180814533316,-0.01922119586217541,0.021541230950551066,0.05731640308110365,1,41,404,0,0,2.4672168467295554
MC_GE35_UP1,DISCOVERY,448,1511,1.0890753857541795,0.014345896469323494,-0.028166871744820243,0.021128368280720622,0.056366197580043645,1,54,394,0,0,3.218563449860952
MC_GE35_UP1,CONFIRM,290,1126,1.041574200086186,0.009118506264573112,-0.01838456358723972,0.018963719986978142,0.05731640308110365,1,37,253,0,0,2.193473971216272
SECTOR_RS63_PCT_GE50,DISCOVERY,913,1511,1.018598694581824,0.0030808950174177063,-0.02495816264664885,0.023310096122897927,0.04669403575981632,1,61,852,0,0,3.558624192929671
SECTOR_RS63_PCT_GE50,CONFIRM,675,1126,1.0809274195024454,0.01749288058627818,-0.02957869758158338,0.023649144072312157,0.05755813068551314,1,45,630,0,0,2.6886059742409296
