engine,variant,cost_bps,period,n,cagr,mdd,sharpe,sortino,calmar,daily_pf
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,FULL,2567,0.4752072200924138,-0.27455442861840784,1.3308816134614843,1.9407309670401942,1.7308306498049069,1.2919402293767739
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2016_2020,1259,0.507882446952667,-0.27455442861840784,1.403246700539531,2.1146169531309105,1.8498424866369663,1.31184753481508
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2021_2025,1255,0.472279440060132,-0.2691324402385723,1.3405854393919237,1.9102011372326875,1.7548216767977882,1.2932048797789542
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2022_2025,1003,0.4973780263896508,-0.2125383868278068,1.4628618274354117,2.130075981551356,2.3401797379435925,1.3372564387493797
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2022_2026_AVAILABLE,1056,0.4611278255584501,-0.2125383868278068,1.3476002545460548,1.9423155959059777,2.169621367889859,1.3061162771587473
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2016,252,0.3732083776912165,-0.15127201481549013,1.4538345765842975,2.255533384494395,2.467134308658658,1.308107466193096
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2017,251,0.3475311745007814,-0.13213149222720144,1.3664582289788911,1.7912128297372094,2.630191853908666,1.2702820435459963
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2018,251,0.19538735037848376,-0.2745544286184076,0.6671198787376137,0.969959112811681,0.7116525177237076,1.138735327302812
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2019,252,0.4308583457110102,-0.13768241653130076,1.4637408295955878,2.2439996841823255,3.1293636222099486,1.2938996580251632
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2020,253,1.4548387239786664,-0.228660068775154,2.1200538181428543,3.368987238305109,6.362452052829733,1.5018136363609795
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2021,252,0.376483699650346,-0.261669707468287,0.9983846645998966,1.3587563109522969,1.4387744890033702,1.1849016423792245
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2022,251,-0.08398926687052721,-0.16059071404563385,-0.3162247400548567,-0.4047105890583019,-0.5230020139686322,0.915425196570201
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2023,250,0.5743304151962441,-0.1564018129923228,1.819469788998801,2.840472812334313,3.6721467878664287,1.4068635866783405
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2024,252,0.8351256029377125,-0.15271251114720075,1.8293544044413148,2.705907118334501,5.468612863897763,1.377498453539613
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2025,250,0.9002495088379734,-0.1641022018001964,1.9718194125716721,2.85690826615192,5.485907556158676,1.4465222024827542
CAUSAL_OPEN_REPLICATION,CORE_DDV10,0,2026,53,-0.0810966486436363,-0.18007955837316358,0.06675088359093483,0.09009625128424549,-0.4503378916311345,1.012032350392339
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,FULL,2567,0.4578457573254444,-0.2758402215998923,1.2956753776049605,1.8858838072503439,1.6598223227559326,1.2831196042824018
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2016_2020,1259,0.48976706907870127,-0.2758402215998923,1.3670506818478936,2.0560792065932016,1.7755462428141136,1.3025441373887519
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2021_2025,1255,0.4558267864573835,-0.27292406347107556,1.3066383643226582,1.8585493406360323,1.6701597530834504,1.2847564748615996
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2022_2025,1003,0.4826661799743499,-0.21430787638155424,1.4311267540547083,2.0801804777413038,2.252209242720552,1.328806227866996
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2022_2026_AVAILABLE,1056,0.4460242910739205,-0.21430787638155424,1.3153406311452223,1.8923984394399713,2.0812314442415443,1.297750344903063
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2016,252,0.35578093472222583,-0.1549145898609836,1.4006192210462758,2.164664862656179,2.29662638645911,1.2950858106629108
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2017,251,0.328322661619048,-0.1336394840722296,1.3064312891381424,1.709108178488092,2.4567788771288273,1.2570189011352837
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2018,251,0.18334519857633724,-0.2758402215998921,0.6397738422683062,0.9288631932377261,0.6646789852216715,1.1325980633620718
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2019,252,0.4174018361042158,-0.13852435447939626,1.4288167643793195,2.186599609409871,3.0132018133049594,1.2858225439747293
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2020,253,1.4213785496426143,-0.2307054650514433,2.0916246263281444,3.317842399140876,6.16100944693994,1.4934299554111525
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2021,252,0.35373113820257895,-0.2630524730692355,0.95693534816803,1.300073039026546,1.3447170219512696,1.1765250503050448
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2022,251,-0.09080758917382303,-0.16155092930091952,-0.3521043725358235,-0.44975292457626076,-0.5620988351275685,0.9063576284922161
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2023,250,0.5603809245205293,-0.15801405651472622,1.7866109395359657,2.7832914346790565,3.5463992057460048,1.3983545286016943
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2024,252,0.8115484382857265,-0.1539493272211211,1.7947726264312336,2.650278716155658,5.271529619093951,1.3690510908409543
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2025,250,0.8810079781029827,-0.16469502773130773,1.94370604676655,2.811855665131058,5.349329547096627,1.439037916035183
CAUSAL_OPEN_REPLICATION,CORE_DDV10,5,2026,53,-0.09945019464878857,-0.18190779174092153,0.02481694373195642,0.03342397416354168,-0.5467066237076226,1.0044562755808766
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,FULL,2567,0.4406802783492938,-0.2771236826094171,1.2604101279884123,1.831146178471158,1.5901934984401753,1.2743515572407114
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2016_2020,1259,0.47186081314415773,-0.2771236826094171,1.3307919141965634,1.997657091213296,1.7027083672571084,1.2932932157681034
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2021_2025,1255,0.4395502194429157,-0.2769682707041814,1.2726364287879748,1.8069984765822036,1.5870056823670662,1.27636076029395
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2022_2025,1003,0.46809226490272704,-0.21607412398597214,1.3993348116697624,2.0303765998671244,2.1663503998892355,1.320403973767339
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2022_2026_AVAILABLE,1056,0.43106966662557133,-0.21607412398597214,1.2830233036006455,1.8425771980756602,1.9950082808321696,1.289432468220275
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2016,252,0.33856257611079976,-0.15854428017439037,1.3472346473792525,2.0741816857540214,2.135444910017559,1.2821985010282413
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2017,251,0.3093804376100546,-0.13514516397112186,1.2463155397587322,1.6272182942123323,2.289245345665227,1.2438808142776498
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2018,251,0.17141921127409754,-0.27712368260941733,0.6123976977848219,0.8878379139998223,0.6185657236509036,1.1264954573876382
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2019,252,0.4040667500789066,-0.13936543190201078,1.3938391176339395,2.129289830512804,2.899332672129269,1.2777301450514253
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2020,253,1.3883599019329753,-0.23274600028578052,2.063145587777549,3.2667870232098903,5.965128939823918,1.485096929299666
CAUSAL_OPEN_REPLICATION,CORE_DDV10,10,2021,252,0.33134274405325526,-0.26443363067109193,0.9154397776825914,1.2415275303534778,1.25302800257425,1.1682107361470846
