ticker,rows,as_of,source_url,status,error
PPH,23.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/PPH/holdings?type=securities&formatValues=true,FETCHED,
PKB,31.0,2024-11-21T00:00:00.000Z,https://api-prod.etf.com/private/fund/PKB/holdings?type=securities&formatValues=true,FETCHED,
BOAT,7.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/BOAT/holdings?type=securities&formatValues=true,FETCHED,
XRT,78.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/XRT/holdings?type=securities&formatValues=true,FETCHED,
XHB,35.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/XHB/holdings?type=securities&formatValues=true,FETCHED,
XAR,33.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/XAR/holdings?type=securities&formatValues=true,FETCHED,
WGMI,9.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/WGMI/holdings?type=securities&formatValues=true,FETCHED,
JETS,25.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/JETS/holdings?type=securities&formatValues=true,FETCHED,
GDX,8.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/GDX/holdings?type=securities&formatValues=true,FETCHED,
PEJ,31.0,2024-11-21T00:00:00.000Z,https://api-prod.etf.com/private/fund/PEJ/holdings?type=securities&formatValues=true,FETCHED,
