strategy,period,n,start,end_date,end,cagr,mdd,vol,sharpe0,calmar,worst_5d,worst_10d,worst_20d
CURRENT_FULL_EXIT_NQ,ALL,2568,2016-01-04,2026-03-20,4.463583190683193,0.1578473540717131,-0.6847524940580725,0.3853854900104356,0.5735117548187224,0.2305173846629705,-0.2589912779576788,-0.2695914983831516,-0.2808507400025657
CURRENT_FULL_EXIT_NQ,DISCOVERY,1511,2016-01-04,2021-12-31,3.125305873927632,0.2095179914473346,-0.6155863546695786,0.3636633334258503,0.7043626056969164,0.3403551587165951,-0.1976948251482014,-0.2216451435742563,-0.2808507400025657
CURRENT_FULL_EXIT_NQ,CONFIRM,1057,2022-01-03,2026-03-20,1.417577248072257,0.0864570494735426,-0.5500632661019669,0.4146092484957153,0.4076601823756209,0.1571765555010099,-0.2589912779576788,-0.2695914983831516,-0.2797069956847726
CURRENT_FULL_EXIT_NQ,2018Q4,63,2018-10-01,2018-12-31,0.8233350295107789,-0.5416959777771319,-0.1935370123146211,0.2931869384006444,-2.504366761412355,-2.7989270439730163,-0.1403270613577697,-0.11579088325817,-0.1408147134275793
CURRENT_FULL_EXIT_NQ,COVID2020,93,2020-02-19,2020-06-30,1.6227467141156633,2.817344929864586,-0.2092900187524048,0.4634000820622383,3.0658058167397293,13.46143952138288,-0.180139165204605,-0.1841725147598673,-0.1841725147598673
CURRENT_FULL_EXIT_NQ,BEAR2022,251,2022-01-03,2022-12-30,1.0469251363650909,0.0474894973512323,-0.2429170949865251,0.2988816592021879,0.3025616238585545,0.1954967284367804,-0.1634223924230594,-0.1353314502210141,-0.2155173825390169
STOP_ONLY_NQ,ALL,2568,2016-01-04,2026-03-20,4.972479773996755,0.1701598462043108,-0.750563743625767,0.4142180281787156,0.5873735036259254,0.2267093869766681,-0.2262875861248022,-0.264432825073812,-0.3471639882749125
STOP_ONLY_NQ,DISCOVERY,1511,2016-01-04,2021-12-31,3.860262042010285,0.2529214632222898,-0.5951928778206539,0.3888064487350504,0.7741295638221124,0.4249403389173303,-0.2096352937216306,-0.2105512824517634,-0.3471639882749125
STOP_ONLY_NQ,CONFIRM,1057,2022-01-03,2026-03-20,1.2783882190304936,0.0600995051161747,-0.6042965647936469,0.4481750006534924,0.354823154084584,0.0994536600364381,-0.2262875861248022,-0.264432825073812,-0.3215991883299774
STOP_ONLY_NQ,2018Q4,63,2018-10-01,2018-12-31,0.7530331873998979,-0.6796870437668094,-0.2967131079097573,0.4326854512736426,-2.4026919102009736,-2.2907213252389584,-0.1403242001218319,-0.1730099141701229,-0.1577852181249595
STOP_ONLY_NQ,COVID2020,93,2020-02-19,2020-06-30,1.2985435181451854,1.060311423000127,-0.3672633492643877,0.5323928298482248,1.5958683658086708,2.887060266492379,-0.2096352937216306,-0.2084757823419333,-0.3471639882749125
STOP_ONLY_NQ,BEAR2022,251,2022-01-03,2022-12-30,0.732208547660934,-0.2704686288807656,-0.3960597196823464,0.3949069103047575,-0.5929400730501956,-0.6828986020029777,-0.1830129900024957,-0.2577488530061661,-0.319466150733545
FULL_EXIT_FTD15,ALL,2568,2016-01-04,2026-03-20,4.949781797992636,0.1696354488674323,-0.6799814780122491,0.3516477963958705,0.621520995519531,0.2494706905301566,-0.2020690536806453,-0.2660077371760474,-0.266311015659334
FULL_EXIT_FTD15,DISCOVERY,1511,2016-01-04,2021-12-31,2.531542192910991,0.1677154429662073,-0.6114176963704556,0.3310417918105979,0.6331760488806748,0.2743058370109543,-0.2020690536806453,-0.2216451435742568,-0.2663040527973128
FULL_EXIT_FTD15,CONFIRM,1057,2022-01-03,2026-03-20,1.9471877649951768,0.171582727679054,-0.3254017018239575,0.3793222338429657,0.6073003889101637,0.5272951146760761,-0.1881778201073032,-0.2660077371760474,-0.266311015659334
FULL_EXIT_FTD15,2018Q4,63,2018-10-01,2018-12-31,0.8176730640306827,-0.5542153172034394,-0.1974511030088742,0.2934542417367078,-2.5955348592452983,-2.806848423523523,-0.1403270613577694,-0.1157908832581703,-0.1408147134275789
FULL_EXIT_FTD15,COVID2020,93,2020-02-19,2020-06-30,1.6082830732070257,2.7239399389867383,-0.2092884432513968,0.4636988056079713,3.0115544925607987,13.015242966448689,-0.180137513137064,-0.1841708892118715,-0.1841708892118715
