period,method,dimension,bucket,n,mean20,median20,win20,pf20,mae20,p10_20
DISCOVERY,M10_RSI55_DD075,mc_bucket,20_50_NOTUP,607,0.042780748560450624,0.03010622982715072,0.6194398682042833,2.221576481175075,-0.08794013046290898,-0.11800402379521477
DISCOVERY,M10_RSI55_DD075,mc_bucket,20_50_UP,1067,0.021320750523823918,0.018138144208903806,0.5791940018744143,1.5214896302061063,-0.0886299571753051,-0.13404197795767814
DISCOVERY,M10_RSI55_DD075,mc_bucket,GE50_OTHER,952,0.010787575424715196,-0.01131726275967826,0.45168067226890757,1.1830815705669517,-0.11905044353900951,-0.1706837325891701
DISCOVERY,M10_RSI55_DD075,mc_bucket,GE50_UP,2124,0.011918213869378242,0.0010642724952791846,0.5028248587570622,1.2336612633456863,-0.1062820945889256,-0.16411148647586346
DISCOVERY,M10_RSI55_DD075,mc_bucket,LT20,487,0.0013353713583016478,-0.002274358143817156,0.486652977412731,1.0262150718521075,-0.11857040003159183,-0.1686726622775918
DISCOVERY,M10_RSI55_DD075,sector_bucket,50_60,760,0.013581504396020315,-0.0007268308316239471,0.49605263157894736,1.2651227868533228,-0.1052484436009858,-0.15378311617527254
DISCOVERY,M10_RSI55_DD075,sector_bucket,60_70,909,0.015214609905192166,0.002503843416511776,0.517051705170517,1.2992838531916315,-0.10624231566756841,-0.16425378869365428
DISCOVERY,M10_RSI55_DD075,sector_bucket,70_80,931,0.026973727177416616,0.01519181036270878,0.5703544575725027,1.6947504189988107,-0.09363044633472156,-0.12756955644255796
DISCOVERY,M10_RSI55_DD075,sector_bucket,GE80,2637,0.013533172299023446,0.0035248824844552615,0.5123246113007205,1.2686650918074742,-0.10657480919690628,-0.16159733717548375
DISCOVERY,M10_RSI55_DD075,rs189_bucket,85_90,1327,0.014891686785390693,0.00895770439827126,0.5508666164280331,1.444105455032966,-0.07936991578384775,-0.10996651719014829
DISCOVERY,M10_RSI55_DD075,rs189_bucket,90_95,1672,0.015376746242843072,0.01047650052243787,0.5430622009569378,1.3756020259149044,-0.09217873281357952,-0.1276716163242797
DISCOVERY,M10_RSI55_DD075,rs189_bucket,GE95,2003,0.020239801578000552,-0.0011201696171212463,0.491263105341987,1.336312809864068,-0.12401905393266004,-0.18827757518155827
DISCOVERY,M10_RSI60_DD075,mc_bucket,20_50_NOTUP,1149,0.04389187623571013,0.030846755215851673,0.6153176675369887,2.340727375339437,-0.08412997283953759,-0.11823444096746913
