date,current_15_55_20_10,cont_30_40_15_15,cont_35_30_20_15,cont_30_35_20_15,cont_30_30_20_20,cont_25_40_20_15,vote_t70_dd8_dir1_r630,vote_t70_dd10_dir1_r631,vote_t70_dd10_dir1_r630,QQQ
2011-01-03,94.05573574191068,93.163839381807,92.69641035508727,93.05927437536708,93.15140506966299,93.42213839564691,90.12344633118039,90.8831812287819,90.12344633118039,48.399627685546875
2011-01-04,93.03154154359986,91.43146497912085,90.74355653811551,91.33735071771495,91.4245424306284,91.9311448973144,91.15225988817123,91.83285528138883,91.15225988817123,48.3646354675293
2011-01-05,93.85125458860736,93.31650684489213,93.05155588307554,93.28467246146053,93.41744006946873,93.51778903984554,91.49519774050151,92.14941329892449,91.49519774050151,48.775909423828125
2011-01-06,93.34208486286913,92.1555022816307,91.68894455361776,92.12590933900535,92.22062817130438,92.56287412439295,91.60951035794494,92.25493263810303,91.60951035794494,48.93341064453125
2011-01-07,92.77699125058601,90.90877853832134,90.224401270959,90.872525335224,90.91243161265702,91.520649399489,86.09205900820388,87.16190062295742,86.09205900820388,48.8896598815918
2011-01-10,91.12658967612127,87.37561136462564,86.09208437427029,87.35473066729688,87.37081053755233,88.6173769603235,78.69735300273463,80.33601815637043,78.69735300273463,49.073429107666016
2011-01-11,92.96071507722561,90.19557415857892,89.30337997660862,90.22148429650636,90.23656647548042,91.13958861640413,87.34356211202265,88.31713425725168,87.34356211202265,49.143436431884766
2011-01-12,94.48320132203818,92.86195064545223,92.42381184405471,92.94373550624286,92.964040677012,93.46365916843101,95.78118737067422,96.10571141908389,95.78118737067422,49.49345779418945
2011-01-13,94.7768078480868,93.56509465959518,93.31411012085773,93.68031924282168,93.68245800344843,94.04652836478563,98.59372912355806,98.70190380636129,98.59372912355806,49.51095962524414
2011-01-14,95.27282483825115,94.53790192356877,94.44343794152047,94.66427308094056,94.71822674189022,94.88510822036065,99.53124304118602,99.56730126878709,99.53124304118602,49.87847900390625
2011-01-18,95.71964531645409,95.11402286341182,95.03963363482781,95.22188732327648,95.2708903954449,95.40414101172516,99.84374768039532,99.8557670895957,99.84374768039532,50.018516540527344
2011-01-19,93.00562251289212,89.7588409544706,88.81521738444877,89.87164762627734,89.90696346514831,90.92807786810593,83.28124922679845,84.56730697858319,83.28124922679845,49.449710845947266
2011-01-20,89.14539268948256,82.73674328111983,80.79102925160637,82.89934550505541,82.97824708097536,85.00766175850445,77.76041640893283,79.47115360824569,77.76041640893283,49.09968948364258
2011-01-21,88.02161237797569,81.35715516778069,79.38883073818978,81.58172627946291,81.72052680476958,83.77462182073606,70.36458324742205,72.64423068992804,70.36458324742205,48.723392486572266
