date,qqq,breadth_core,breadth_delta20,baseline_15552010,det20_20pct,det20_30pct,det20_40pct,det1020_30pct
2026-01-02,611.6756591796875,74.7522095959596,3.3664772727272663,78.79647329863768,76.4652798086411,75.2996830636428,74.13408631864452,75.4254217874716
2026-01-05,616.5341796875,79.87373737373737,3.974116161616152,81.94141702547182,79.58553308436186,78.40759111380686,77.22964914325188,78.52363596619423
2026-01-06,621.951416015625,87.0580808080808,12.280618686868678,87.02508513643673,85.85975576717787,85.27709108254841,84.69442639791899,84.42315117223309
2026-01-07,622.550048828125,81.88762626262627,7.960858585858588,86.18731794110181,84.8979951883859,84.25333381202793,83.60867243566997,82.82830089053394
2026-01-08,619.0083618164062,86.72348484848486,16.175820707070713,87.9445941958555,87.89705374124648,87.87328351394197,87.84951328663747,86.0389843456662
2026-01-09,625.173828125,91.14267676767678,12.720959595959599,90.37799604508317,89.83136218984312,89.55804526222309,89.28472833460307,88.06568772696448
2026-01-12,625.6925659179688,92.04545454545455,14.40498737373737,92.0233050790008,91.5134896272541,91.25858190138077,91.00367417550743,90.03165890351679
2026-01-13,624.7647705078125,89.55176767676767,14.966856060606048,91.14434243374103,90.8553645979736,90.71087568008988,90.56638676220618,89.417634854413
2026-01-14,618.0905151367188,91.51357323232322,18.19602272727272,91.38923367319988,91.66403041312925,91.80142878309394,91.93882715305861,90.52010979259053
2026-01-15,620.3153076171875,92.9419191919192,21.80397727272728,91.7804179584067,92.46460946430909,92.80670521726029,93.14880097021147,92.37959888709247
2026-01-16,619.7965087890625,92.18434343434345,24.381313131313135,91.04065278748239,91.84093884500541,92.2410818737669,92.6412249025284,92.0987130970443
2026-01-20,606.6276245117188,77.3800505050505,2.250631313131308,85.04890446451434,83.19680074294794,82.27074888216472,81.34469702138152,81.7666519982572
2026-01-21,614.8282470703125,85.20833333333334,1.156881313131322,86.74273246460243,83.53375576111735,81.92926740937479,80.32477905763223,81.47184709390562
2026-01-22,619.2976684570312,91.01641414141415,5.2414772727272805,89.00788893601226,85.9176860533691,84.37258461204749,82.82748317072591,84.59426481939111
2026-01-23,621.2530517578125,89.73800505050505,5.067866161616166,88.01378284399064,84.99106475347995,83.4797057082246,81.96834666296925,83.35596456206136
2026-01-26,623.9866333007812,91.95864898989899,4.384469696969688,89.34045286718882,86.15012554072229,84.554961877489,82.95979821425574,84.17024694682348
2026-01-27,629.6432495117188,89.53440656565657,4.3150252525252455,90.18848428906296,86.93770388394447,85.31231368138523,83.68692347882599,84.52706582255229
2026-01-28,631.728271484375,86.08743686868686,2.3153409090909065,87.27095099197723,83.80304039397475,82.06908509497353,80.3351297959723,81.25104240591811
2026-01-29,627.9472045898438,87.3074494949495,5.15625,86.62377659328534,83.55756333839562,82.02445671095077,80.49135008350592,80.85064734237675
2026-01-30,620.405029296875,78.55902777777779,11.97127525252526,84.28389354456313,82.64035255219248,81.81858205600719,80.99681155982185,78.89072372481583
