date,mc_alpha_0.0,mc_alpha_0.75,mc_alpha_1.0,mc_alpha_1.25,QQQ,nqsar_proxy,vix_context
2020-04-03,5.929736299839119,5.929712012302689,5.929712012302648,5.929712012302634,176.89938354492188,Green,REVERSAL
2020-04-06,12.36318027760305,12.363172181757573,12.363172181757559,12.363172181757555,189.54676818847656,Green,REVERSAL
2020-04-07,16.666428164734253,16.470140589238213,16.40471229694458,16.33928400465095,189.46963500976562,Green,REVERSAL
2020-04-08,19.242893942722603,18.964738979116817,18.872020957761013,18.779302936405212,193.49244689941406,Blue,REVERSAL
2020-04-09,26.09737222139667,25.89829101430785,25.831930711893627,25.76557040947939,193.7721710205078,Blue,REVERSAL
2020-04-13,29.534410268655925,29.41486842334954,29.375021174896986,29.33517392644442,195.86561584472656,Blue,REVERSAL
2020-04-14,31.861794183447653,31.795356180207136,31.773210190232383,31.75106420025762,204.38401794433594,Blue,REVERSAL
2020-04-15,31.720779739247178,31.685338377431147,31.673524593860947,31.661710810290735,202.03977966308594,Blue,REVERSAL
2020-04-16,30.73468142409331,30.716219956453365,30.710066135140657,30.703912313827942,205.72503662109375,Blue,REVERSAL
2020-04-17,33.19019069560909,33.18071303287847,33.177553812379585,33.174394591880684,207.69302368164062,Blue,EXTREME
2020-04-20,32.4777258690189,32.359514971072265,32.320111338560494,32.280707706048716,205.23304748535156,Blue,EXTREME
2020-04-21,26.269633215915356,25.75907527252604,25.588889291441973,25.4187033103579,197.65997314453125,Blue,EXTREME
2020-04-22,29.22546006046948,28.654983382302827,28.46482448959584,28.27466559688886,203.5254669189453,Blue,EXTREME
2020-04-23,30.720211366963397,30.32990712572274,30.19980571198093,30.069704298239117,203.09136962890625,Blue,EXTREME
2020-04-24,32.624457675161736,32.39428358715563,32.31755889115528,32.240834195154946,206.294189453125,Blue,REVERSAL
2020-04-27,38.29507126364223,38.168310230510585,38.12605655280059,38.08380287509061,207.9535369873047,Blue,REVERSAL
2020-04-28,41.29348914829396,41.22621730201861,41.20379335326035,41.181369404502085,204.03677368164062,Blue,REVERSAL
2020-04-29,44.93234309593025,44.89741006288939,44.88576571854251,44.87412137419562,211.27212524414062,Blue,REVERSAL
2020-04-30,45.708217371342656,45.6903184848545,45.68435218935848,45.67838589386244,211.18527221679688,Blue,REVERSAL
2020-05-01,41.18665755142529,40.97552405430309,40.90514622192903,40.83476838955497,205.23304748535156,Blue,EXTREME
2020-05-04,40.56066945981955,40.37902747107685,40.318480141495954,40.257932811915055,207.62548828125,Blue,REVERSAL
2020-05-05,42.050284551754174,41.93410514398896,41.895378674733884,41.85665220547881,209.97938537597656,Blue,EXTREME
2020-05-06,39.96325088965044,39.57498529102544,39.4455634248171,39.31614155860876,211.27212524414062,Blue,EXTREME
2020-05-07,42.3311333938219,42.026941962928596,41.9255448192975,41.824147675666396,213.9925537109375,Blue,ELEVATED
2020-05-08,49.29633123911385,49.10754931314026,49.0446220044824,48.981694695824544,216.92529296875,Blue,REVERSAL
2020-05-11,48.88840819734676,48.28862443501765,48.088696514241285,47.88876859346492,218.86439514160156,Blue,REVERSAL
2020-05-12,44.27187290059861,42.91538741270884,42.46322558341225,42.01106375411566,214.28199768066406,Blue,EXTREME
2020-05-13,37.85143749651796,33.84378334199799,32.50789862382468,31.172013905651358,211.60009765625,Blue,EXTREME
2020-05-14,39.05904237177951,34.420129372938945,32.8738250399921,31.327520707045245,214.0022430419922,Blue,ELEVATED
2020-05-15,39.63378108908951,35.380081539420146,33.96218168953036,32.544281839640576,215.39144897460938,Blue,ELEVATED
2020-05-18,49.39784003063862,46.626242572387575,45.702376752970565,44.778510933553555,219.40460205078125,Blue,ELEVATED
2020-05-19,51.77813293927895,49.82585581568131,49.17509677448209,48.524337733282884,218.85479736328125,Blue,ELEVATED
2020-05-20,55.23748774817152,54.072523054882,53.68420149045215,53.29587992602231,223.22488403320312,Blue,REVERSAL
2020-05-21,56.05644810709778,55.32476069578945,55.08086489202,54.836969088250555,220.79379272460938,Blue,ELEVATED
2020-05-22,57.74808635059354,57.278796685884856,57.122366797648624,56.96593690941239,221.55596923828125,Blue,REVERSAL
2020-05-26,59.58667067670622,59.31754385800038,59.22783491843175,59.13812597886314,220.95779418945312,Blue,REVERSAL
2020-05-27,62.8062822887251,62.66022488392167,62.61153908232053,62.562853280719395,222.1636962890625,Blue,REVERSAL
2020-05-28,64.82803117382406,64.7511711396055,64.72555112819933,64.69993111679312,221.87429809570312,Blue,ELEVATED
2020-05-29,67.12839910303707,66.97530221837773,66.9242699234913,66.87323762860484,225.1253662109375,Blue,ELEVATED
2020-06-01,67.836744732487,67.72197400097397,67.68371709046963,67.64546017996528,225.8007049560547,Blue,ELEVATED
2020-06-02,71.28401391618496,71.21388778736733,71.19051241109479,71.16713703482225,227.31527709960938,Blue,ELEVATED
2020-06-03,74.29546785169181,74.2275120329293,74.2048600933418,74.18220815375429,228.33790588378906,Blue,ELEVATED
2020-06-04,76.57706501937541,76.47363761548736,76.43916181419135,76.40468601289533,226.73646545410156,Blue,ELEVATED
2020-06-05,81.2311125023576,81.09776372585577,81.05331413368847,81.0088645415212,231.23202514648438,Blue,ELEVATED
2020-06-08,85.55412769884589,85.44949943157569,85.41462334248561,85.37974725339555,233.0263671875,Blue,ELEVATED
2020-06-09,86.28849185915287,86.21278424501136,86.18754837363085,86.16231250225033,234.71463012695312,Blue,ELEVATED
2020-06-10,85.57913806918243,85.52751855333176,85.5103120480482,85.49310554276462,237.5316162109375,Blue,ELEVATED
2020-06-11,71.92146008206137,68.74674751843162,67.6885099972217,66.63027247601178,225.76210021972656,Blue,EXTREME
2020-06-12,69.56296114908157,65.05585341119856,63.553484165237556,62.05111491927654,227.55642700195312,Yellow,EXTREME
2020-06-15,70.98442145498785,66.78973515624585,65.39150638999853,63.99327762375119,230.3251953125,Yellow,EXTREME
2020-06-16,74.3167003965399,71.18971761779095,70.14739002487464,69.10506243195832,234.28050231933594,Yellow,EXTREME
2020-06-17,73.95247934042365,71.16838758847877,70.24035700449713,69.31232642051549,235.02334594726562,Yellow,EXTREME
2020-06-18,77.04611244008468,74.06870585297766,73.07623699060863,72.08376812823964,235.6600341796875,Yellow,ELEVATED
2020-06-19,76.31711921718124,72.17398579074954,70.7929413152723,69.41189683979506,235.62144470214844,Green,EXTREME
2020-06-22,76.61038163210279,71.62676963153865,69.96556563135059,68.30436163116255,238.44720458984375,Green,REVERSAL
2020-06-23,77.17587776246992,71.98932315946064,70.26047162512421,68.5316200907878,240.47659301757812,Blue,REVERSAL
2020-06-24,70.92990860384434,63.70324721948619,61.294360091366805,58.88547296324741,235.51902770996094,Blue,EXTREME
2020-06-25,68.07500041473432,60.092447076881854,57.43159596426436,54.770744851646874,237.76100158691406,Blue,ELEVATED
2020-06-26,60.60168360180734,49.70846987043441,46.07739862664344,45.166931747444856,232.14627075195312,Blue,EXTREME
2020-06-29,64.10417190692878,52.6887335898712,48.88358748418534,47.95925462214129,234.67825317382812,Blue,ELEVATED
2020-06-30,68.52882287509195,57.33236128832833,53.600207426073794,52.147183780162784,239.27828979492188,Blue,ELEVATED
2020-07-01,71.70941371699239,61.037461489198975,57.48014407993451,55.248867352016006,242.07115173339844,Blue,ELEVATED
2020-07-02,71.59260499637557,60.97673823073054,57.438115975515544,55.1057562080501,243.71400451660156,Blue,REVERSAL
2020-07-06,75.95891394948565,67.45796580080257,64.62431641790823,62.19275453093039,249.70565795898438,Blue,ELEVATED
2020-07-07,72.4367051711801,63.402491799885034,60.391087342786705,57.513712050993846,247.98544311523438,Blue,ELEVATED
2020-07-08,72.30295434089714,62.70222709098733,59.50198467435074,56.34641864614929,251.2518310546875,Blue,ELEVATED
2020-07-09,68.03386439796068,58.49685989047392,55.31785838797833,52.15374901496112,253.3682861328125,Blue,ELEVATED
2020-07-10,70.6761607994302,62.774741793176204,60.1409354577582,57.51209316549966,255.09812927246094,Blue,REVERSAL
2020-07-13,72.7882365902276,66.81828660709704,64.82830327938686,62.839974632729835,249.85060119628906,Blue,ELEVATED
2020-07-14,77.949306170667,73.67872931771164,72.25520370005987,70.83222964275913,251.6190185546875,Blue,ELEVATED
2020-07-15,82.06469623096572,79.3752228090247,78.47873166837769,77.58242438118104,252.13121032714844,Blue,ELEVATED
2020-07-16,82.80906339832133,81.13246293886303,80.57359611904359,80.01479058370761,250.41107177734375,Blue,ELEVATED
2020-07-17,82.70688417251907,81.45045401273843,81.03164395947823,80.61285433437916,250.70095825195312,Blue,ELEVATED
2020-07-20,82.65364535837541,81.50139651707904,81.11731356998027,80.73323743226851,257.81365966796875,Blue,ELEVATED
2020-07-21,84.72263855683246,83.9718362157156,83.72156876867665,83.47130359143335,255.1270751953125,Blue,ELEVATED
