date,qqq,breadth_core,baseline,combo1p0_raw,combo1p0_ema3,combo1p25_raw,combo1p25_ema3,combo1p25_ema5
2026-01-02,611.6756591796875,74.7522095959596,78.79647329863768,74.74322378554322,75.25616022256133,73.72991140727123,74.37108195354712,75.21967034263065
2026-01-05,616.5341796875,79.87373737373737,81.94141702547182,79.17858616925514,78.78984505932421,78.48787845520151,78.00195206778893,78.4057021980389
2026-01-06,621.951416015625,87.0580808080808,87.02508513643673,86.0095234621423,84.94151831621534,85.75563304356885,84.42062661116054,84.2447912205239
2026-01-07,622.550048828125,81.88762626262627,86.18731794110181,84.09358904967033,84.09867008527524,83.57015682681254,83.5765081213188,83.46140162572961
2026-01-08,619.0083618164062,86.72348484848486,87.9445941958555,87.09072391723018,86.47333512862951,86.87725634757389,86.10552036182308,85.77153736951331
2026-01-09,625.173828125,91.14267676767678,90.37799604508317,90.09337261887472,89.50005479836592,90.02221676232261,89.28056948668666,88.8106983999348
2026-01-12,625.6925659179688,92.04545454545455,92.0233050790008,91.92843060359799,91.53689721794078,91.90471198474728,91.41529525267578,90.93890895081736
2026-01-13,624.7647705078125,89.55176767676767,91.14434243374103,90.6555416826808,90.6567381276809,90.53334149491577,90.53483705116588,90.2177447020103
2026-01-14,618.0905151367188,91.51357323232322,91.38923367319988,91.12878851543906,91.0152089412894,91.06367722599886,90.9217027583118,90.6629830363124
2026-01-15,620.3153076171875,92.9419191919192,91.7804179584067,91.69360290581977,91.549998066158,91.67189914267303,91.49239309309583,91.2600779285705
2026-01-16,619.7965087890625,92.18434343434345,91.04065278748239,90.87282554773118,90.84152922148243,90.83086873779338,90.79174832998244,90.62383141769524
2026-01-20,606.6276245117188,77.3800505050505,85.04890446451434,81.68277686607875,83.26627888229655,80.84124496646984,82.82062248674211,83.36847038530809
2026-01-21,614.8282470703125,85.20833333333334,86.74273246460243,83.86374548734614,84.4119261848654,83.14399874303206,83.82922461493115,84.42286517127481
2026-01-22,619.2976684570312,91.01641414141415,89.00788893601226,87.69521735100092,87.18615000363806,87.36704945474807,86.73071527054454,86.91436424670579
2026-01-23,621.2530517578125,89.73800505050505,88.01378284399064,86.9888413897276,86.590442650672,86.73260602616183,86.23460760234236,86.19104077851006
2026-01-26,623.9866333007812,91.95864898989899,89.34045286718882,88.81853951206409,88.36782609296714,88.6880611732829,88.12466939941172,87.9078275922331
2026-01-27,629.6432495117188,89.53440656565657,90.18848428906296,88.92944372624359,89.07265062054243,88.61468358553876,88.7936922034123,88.70880053791774
2026-01-28,631.728271484375,86.08743686868686,87.27095099197723,84.95948839696335,85.55730286021003,84.38162274820989,85.12889082726824,85.3213857432913
2026-01-29,627.9472045898438,87.3074494949495,86.62377659328534,84.04918026531776,84.47965436341795,83.40553118332586,83.94362380595112,84.25131795750823
2026-01-30,620.405029296875,78.55902777777779,84.28389354456313,78.15196791672209,80.14586961570893,76.61898650976184,79.11136363349537,80.14728544244464
2026-02-02,624.6650390625,84.95896464646465,86.03107899296887,81.19890933924407,81.54598220167938,79.99086692581288,80.42470800385698,81.25993623583787
2026-02-03,615.0676879882812,82.12436868686869,84.85337313233643,81.25943232183558,80.81385433144126,80.36094711921035,79.80397463121746,80.1751359565404
2026-02-04,604.322998046875,75.47032828282829,84.02309407441518,77.8366878783223,78.91013157592116,76.29008632929909,77.63189095129765,78.32660004217914
2026-02-05,595.6235961914062,63.57954545454545,79.41628388339093,66.94095404024885,70.62213771257287,65.83861463501889,68.42360116986836,70.42056709392436
2026-02-06,608.2138671875,79.96054292929293,83.58552055372292,75.25462356897185,75.02299897593835,73.84406367463592,72.88236858149222,74.11716895043224
