date,baseline_mc,candidate_mc,candidate_penalty,breadth_core,QQQ,SPY,IWM
2011-01-03,94.05573574191068,93.75278189369565,0.4259943426991931,97.5,48.39963150024414,96.67911529541016,64.57678985595703
2011-01-04,93.03154154359986,92.62965703877407,0.8206360602384805,95.55555555555557,48.36464309692383,96.62586975097656,63.61951446533203
2011-01-05,93.85125458860736,93.29629916114024,1.1481652523414634,95.13888888888889,48.77591323852539,97.12804412841797,64.3658447265625
2011-01-06,93.34208486286913,92.34981456300638,2.20168679283741,94.30555555555554,48.933414459228516,96.93785095214844,64.0656967163086
2011-01-07,92.77699125058601,91.36623195157452,2.9454614519742583,94.0625,48.88967514038086,96.74759674072266,63.70063018798828
2011-01-10,91.12658967612127,89.62299040284809,2.8182168370982366,94.75694444444446,49.07343292236328,96.62586975097656,64.0656967163086
2011-01-11,92.96071507722561,91.69616977896284,2.081851474104672,95.34722222222223,49.14342498779297,96.96825408935547,64.3252944946289
2011-01-12,94.48320132203818,93.52882710977214,1.4532521259412243,96.18055555555556,49.493473052978516,97.84336853027344,64.87694549560547
2011-01-13,94.7768078480868,94.05300297553853,1.1064003685261656,96.28472222222223,49.510963439941406,97.68354034423828,64.85262298583984
2011-01-14,95.27282483825115,94.62978708169047,1.0957349064853061,95.76388888888889,49.87848663330078,98.3912582397461,65.33938598632812
2011-01-18,95.71964531645409,94.95429892400416,1.5027285643537602,95.97222222222223,50.018497467041016,98.55868530273438,65.3880615234375
2011-01-19,93.00562251289212,90.85174292305506,5.17844761551022,89.44444444444444,49.44969940185547,97.5922622680664,63.708744049072266
2011-01-20,89.14539268948256,85.67972900410075,7.4937376966439935,88.47222222222223,49.09968185424805,97.462890625,63.043487548828125
2011-01-21,88.02161237797569,82.67569896068589,11.429160514988656,83.61111111111111,48.723411560058594,97.68354034423828,62.621681213378906
2011-01-24,87.87757449636227,81.72848353599923,11.910326785272105,85.86805555555556,49.397216796875,98.23908233642578,63.08405303955078
2011-01-25,87.10641372100966,80.39449652266283,12.715146031524945,85.3125,49.46721649169922,98.29232025146484,63.18144607543945
2011-01-26,91.51417494404026,86.09434128140434,8.67962162687358,92.70833333333334,49.72972869873047,98.67282104492188,64.1873779296875
2011-01-27,93.70565090727268,89.52001530480055,6.488248313436794,93.40277777777777,50.0359992980957,98.91632843017578,64.37396240234375
2011-01-28,84.46299474686867,74.76057682284049,22.656016517829507,65.83333333333334,48.76716613769531,97.18892669677734,62.80012512207031
2011-01-31,82.98303528599327,70.54248623675217,25.1083902033592,74.58333333333333,49.003440856933594,97.91943359375,63.23820495605469
2011-02-01,90.15453028051628,80.18304922219042,15.885358296124046,90.79861111111111,49.922237396240234,99.48704528808594,64.69847869873047
2011-02-02,90.66169527869062,82.5038945855148,13.183564564728698,84.47916666666666,49.843482971191406,99.29679870605469,64.45512390136719
2011-02-03,92.17704657437837,86.35647571015653,8.458101726808795,90.3125,49.930999755859375,99.5174560546875,64.68225860595703
2011-02-04,93.65716367294095,89.5894261469891,5.802401557848844,91.25,50.21099853515625,99.79899597167969,64.79584503173828
2011-02-07,95.23572122431365,92.46591935598333,3.856061890035538,93.22916666666666,50.44728469848633,100.42298126220703,65.43672180175781
2011-02-08,96.25125892662307,94.49373214252498,2.2752531672399923,95.17361111111111,50.77980422973633,100.87955474853516,65.899169921875
2011-02-09,96.09949371628176,94.94135677703285,1.560803666953331,94.93055555555556,50.69231033325195,100.6512680053711,65.60711669921875
2011-02-10,96.24242383135318,95.4667875589584,1.0625198890322234,95.38194444444444,50.77104568481445,100.68933868408203,65.8667221069336
2011-02-11,96.17154868452513,95.53121431314503,1.041242583405,94.34027777777779,51.13859176635742,101.29051971435547,66.58061218261719
2011-02-14,96.75440511706394,96.18296515853521,0.9763504583691697,94.51388888888889,51.261104583740234,101.53398132324219,66.92134857177734
2011-02-15,96.1121165205028,95.61930272344036,0.8245467569623616,94.30555555555556,51.19108200073242,101.21440887451172,66.54006958007812
2011-02-16,96.51098328461205,96.13586629403703,0.5750337951478459,94.86111111111111,51.52361297607422,101.85357666015625,67.07553100585938
2011-02-17,98.0221796133892,97.79171775408709,0.28751689757392296,98.19444444444446,51.506103515625,102.157958984375,67.5460433959961
2011-02-18,97.7259117229816,97.43723615347382,0.5777862265647428,96.80555555555556,51.39234924316406,102.37101745605469,67.61903381347656
2011-02-22,89.2595631669198,85.38517381239885,10.304084085504595,79.6875,49.904762268066406,100.31646728515625,65.88290405273438
2011-02-23,82.69809512971402,71.93038268382749,25.84431634830786,63.576388888888886,49.493473052978516,99.70011138916016,64.74714660644531
2011-02-24,80.23269837657134,65.64346089460916,30.0,63.4375,49.7559814453125,99.63158416748047,65.16091918945312
2011-02-25,83.55626982922749,69.2780490542378,25.677658948188082,82.60416666666667,50.44728469848633,100.69693756103516,66.66986083984375
2011-02-28,87.14931216529806,75.5856185766522,18.557145446316277,87.11805555555554,50.552303314208984,101.32093048095703,66.74285888671875
2011-03-01,84.20717812917343,70.90301656409646,25.771628278713692,69.96527777777779,49.738494873046875,99.63158416748047,65.40430450439453
