date,current_mri_standardized,oratnek_like,new_mc_v1,qqq,qqq_fwd10,qqq_fwd20
2016-01-04,21.14257904848018,5.695944929825305,32.1046183433139,101.60562896728516,-0.0770778454732226,-0.06712316351837666
2016-01-05,26.140128252892602,13.009759421052877,28.952256208875887,101.42933654785156,-0.07830940597745872,-0.06998456359472527
2016-01-06,16.712331461645878,4.336586473684293,24.905715235953636,100.45501708984375,-0.06844618754386023,-0.06105663925436933
2016-01-07,9.950031963423244,1.4455288245614313,18.815632810885255,97.30940246582031,-0.010488894227293821,-0.06436524788275355
2016-01-08,7.557823629888532,0.48184294152047713,14.075861692433175,96.5114517211914,-0.0171140610922621,-0.0710508002838589
2016-01-11,9.083392149011157,0.16061431384015906,11.40882871422988,96.80836486816406,-0.01131015175036132,-0.07677565512946549
2016-01-12,9.610213734202546,0.05353810461338636,8.848334185174528,97.93112182617188,-0.046996391718684305,-0.08385467840986327
2016-01-13,2.0722395370421767,0.017846034871128787,6.577960496151862,94.55355072021484,0.0009811734915647907,-0.0525024644318558
2016-01-14,7.020566336053044,0.005948678290376263,5.457539818689423,96.56710815429688,0.0005764288023522024,-0.05813382439336712
2016-01-15,2.7516537470945934,0.0019828927634587545,3.435967572533053,93.56996154785156,0.03540262297338259,-0.006048888482292125
2016-01-19,2.4278941115249206,0.0006609642544862516,2.5191606959952124,93.77408599853516,0.010786047237050234,0.014249187444274058
2016-01-20,2.069974132292619,0.0002203214181620839,2.16619582460598,93.48646545410156,0.00903214423226495,0.005756660691210502
2016-01-21,7.459978254792643,7.344047272069464e-05,2.0926704188111764,93.57925415039062,0.007932497501145441,0.007733730541138462
2016-01-22,14.973488276175948,5.555580035713128,5.95213537654959,96.28873443603516,-0.05444744716976957,-0.004721982999910335
2016-01-25,11.53063633052011,1.8518600119043764,4.571830481308483,94.85974884033203,-0.05487588849987579,-0.0063577651814776814
2016-01-26,16.714196879372057,11.728397781745901,12.012200168732274,95.71344757080078,-0.06621439827161502,-0.005817134041585015
2016-01-27,18.645516965543166,15.020577038359743,12.192289871433708,93.3287124633789,-0.038675915149629536,0.029628013450089474
2016-01-28,18.989000059188726,16.117970123897692,14.379307182926533,94.64632415771484,-0.05343121263396189,0.014019687907355083
2016-01-29,22.47470973233847,16.483767819077006,18.275785959141842,96.62277221679688,-0.05867643041121118,-0.015653470240529876
2016-02-01,23.583204562265134,27.71681149524789,20.629786878488773,96.88258361816406,-0.04003419591176782,0.013217368789017137
2016-02-02,12.354768372480883,9.23893716508263,11.526004234341361,94.78553771972656,0.0034261852116876934,0.03602525167562409
2016-02-03,17.365222631039767,14.19075683280532,15.462687185968573,94.33084869384766,-0.0032461637221146145,0.039051666623126646
2016-02-04,17.24802438410352,21.39691894426844,18.748786919495632,94.32157135009766,-0.00019720265047484808,0.039547543674361085
2016-02-05,11.899592609884454,7.132306314756147,7.9840850337120175,91.04605865478516,0.052588789508336564,0.07032209673049739
2016-02-08,4.584819448597258,2.3774354382520495,3.85127124280332,89.65423583984375,0.05133518733469722,0.0779340082170612
2016-02-09,4.64918051166055,0.79247847941735,2.4429491735935254,89.37583923339844,0.06468001232642484,0.08824738554308409
2016-02-10,4.5959755555249435,0.2641594931391167,1.9673928042366438,89.7191390991211,0.07105192689554896,0.08242903476773611
2016-02-11,4.163046618367713,0.08805316437970558,1.6864732090277013,89.5892562866211,0.07125831893211765,0.10295186526576683
2016-02-12,10.231156065217002,0.029351054793235194,1.8187101013710512,90.95329284667969,0.045704751862821746,0.08824704754379309
2016-02-16,20.783153158954946,16.676450351597744,14.208370066992808,93.00396728515625,0.0554723558630954,0.06385301130021004
2016-02-17,29.672479419674534,27.781039006088132,25.13055873390438,95.11029052734375,0.032487757390005756,0.04956107251103292
2016-02-18,28.388102521141956,31.48256855758493,28.703512465298253,94.0246353149414,0.042435583195938875,0.061087648755513424
2016-02-19,31.21975322870997,32.7164117414172,29.898584588657947,94.30297088623047,0.03975258564008732,0.05961379004810419
2016-02-22,39.21878018981853,38.68324835825018,32.0384293019116,95.83406066894531,0.016847326704328758,0.046763587636239334
2016-02-23,29.819036703019165,35.11663834163895,29.90115840517891,94.25665283203125,0.025300038658266688,0.06753953730522744
2016-02-24,31.309775378642463,33.92776833610187,30.522327733473908,95.15666961669922,0.022135639763878112,0.04873827158019228
