period,variant,max_pos,input_signals,n,end,cagr,mdd,avg_exposure,max_exposure,max_concurrent,accepted,skipped_position_cap,skipped_theme_cap,confirmation_adds,turnover_nav
DISCOVERY,SHALLOW,1,1744,1511,1.157161550392293,0.02466605614867934,-0.017955072704592956,0.015453786794835613,0.07908436125917986,1,37,1707,0,0,2.2886574923927188
DISCOVERY,SHALLOW,2,1744,1511,1.159621483264089,0.025029352777583336,-0.03869805993961317,0.029620389173307966,0.10735047019945687,2,74,1670,0,0,4.433040033191121
DISCOVERY,SHALLOW,4,1744,1511,1.2764517794457257,0.041586398873374675,-0.06434235129169286,0.05819951391966407,0.20980381499353493,4,148,1596,0,0,8.780671237114557
DISCOVERY,SHALLOW_UP,1,1008,1511,1.0408282101004134,0.006702351106114834,-0.03509820143962772,0.012750849806615677,0.07908436125917986,1,32,976,0,0,1.8943239705969237
DISCOVERY,SHALLOW_UP,2,1008,1511,1.0767712038579245,0.012423831819424969,-0.04933603071170667,0.025177183569180358,0.10735047019945684,2,64,944,0,0,3.7758841269472634
DISCOVERY,SHALLOW_UP,4,1008,1511,1.1484173050658637,0.023369426812995586,-0.08125499327011643,0.04996186959113984,0.16435815164658468,4,128,880,0,0,7.543561233450583
DISCOVERY,SHALLOW_UP_SEC2,1,1008,1511,1.0408282101004134,0.006702351106114834,-0.03509820143962772,0.012750849806615677,0.07908436125917986,1,32,976,0,0,1.8943239705969237
DISCOVERY,SHALLOW_UP_SEC2,2,1008,1511,1.0767712038579245,0.012423831819424969,-0.04933603071170667,0.025177183569180358,0.10735047019945684,2,64,944,0,0,3.7758841269472634
DISCOVERY,SHALLOW_UP_SEC2,4,1008,1511,1.1984170350139087,0.030675652371103812,-0.07899000861498062,0.05022498201414637,0.16398510874850028,4,128,866,14,0,7.586922729410545
DISCOVERY,DEEP_RSI30,1,1559,1511,1.072151429302299,0.011697439621350947,-0.04250484376031527,0.025572416984216584,0.10671715492064981,1,67,1492,0,0,3.9559487987180044
DISCOVERY,DEEP_RSI30,2,1559,1511,1.1287744206492278,0.020426444566060242,-0.05311399434301489,0.049899480252511175,0.13338107510367966,2,130,1429,0,0,7.659731790604184
DISCOVERY,DEEP_RSI30,4,1559,1511,1.1770816732508367,0.02758968085134872,-0.10484857150991478,0.09546498105188174,0.16281660977745582,4,248,1311,0,0,14.568012881187428
CONFIRM,SHALLOW,1,1813,1126,1.077037512604228,0.016675762958498375,-0.018991407030810814,0.018951045645016172,0.054379238086073214,1,36,1777,0,0,2.1581859601620654
CONFIRM,SHALLOW,2,1813,1126,1.1220470562786165,0.025993721540892523,-0.03452075295769963,0.03780273074197603,0.09345949279233096,2,72,1741,0,0,4.280433362953236
CONFIRM,SHALLOW,4,1813,1126,1.2640118678888808,0.05359744099169528,-0.049571286552364535,0.07612109910245814,0.164828323201093,4,144,1669,0,0,8.520734814910304
CONFIRM,SHALLOW_UP,1,1059,1126,0.9976289473430001,-0.0005288640694554037,-0.039395967878640414,0.01644716143750997,0.04123020594594559,1,32,1027,0,0,1.8554865187192502
CONFIRM,SHALLOW_UP,2,1059,1126,1.026659546052295,0.005880349459241874,-0.051267974678216977,0.033119843905908344,0.1003863910674292,2,64,995,0,0,3.7349137695122088
CONFIRM,SHALLOW_UP,4,1059,1126,1.1381335211910395,0.02925352093053535,-0.05278262118222421,0.06521711309433344,0.18112991609108683,4,124,935,0,0,7.247702300488701
CONFIRM,SHALLOW_UP_SEC2,1,1059,1126,0.9976289473430001,-0.0005288640694554037,-0.039395967878640414,0.01644716143750997,0.04123020594594559,1,32,1027,0,0,1.8554865187192502
CONFIRM,SHALLOW_UP_SEC2,2,1059,1126,1.026659546052295,0.005880349459241874,-0.051267974678216977,0.033119843905908344,0.1003863910674292,2,64,995,0,0,3.7349137695122088
CONFIRM,SHALLOW_UP_SEC2,4,1059,1126,1.1292648452762553,0.027460813624532676,-0.0554505587091485,0.06519005219489518,0.1811299160910868,4,124,924,11,0,7.243660863601399
CONFIRM,DEEP_RSI30,1,1414,1126,1.0773517400168033,0.016741854949281043,-0.025441833782360312,0.026534972322680296,0.05731640308110364,1,51,1363,0,0,3.0323613481348293
CONFIRM,DEEP_RSI30,2,1414,1126,1.1957595856630205,0.04064482023302185,-0.027692201241895753,0.052133428016506334,0.08478464308153544,2,99,1315,0,0,5.914174771971371
CONFIRM,DEEP_RSI30,4,1414,1126,1.3719977880160688,0.07302164534529343,-0.034947536375557364,0.10055130454690335,0.14709543036679343,4,191,1223,0,0,11.385298952039374
