asof,ticker,level,close,weekly_rsi14,above_21ema,above_50ma,distance_20d_high_pct,rs63_vs_spy,rs189_vs_spy,matrix_price_score,matrix_internal_score,matrix_internal_delta20,validated_price_score,validated_internal_score,validated_internal_delta20,flow_1d_usd,flow_5d_usd,flow_20d_usd,flow_20d_pct_aum,flow_asof,flow_quality,internal_membership_quality,internal_trend_history_quality,breadth21,breadth21_rank,breadth50,breadth50_rank,ad20_score,ad20_score_rank,obv_positive20,obv_positive20_rank,updown_volume20,updown_volume20_rank,state,state_reason,state_evidence
2026-08-28,XLC,SECTOR,112.98999786376953,51.855580052915016,True,True,-0.1678763393655469,-0.040430535098914144,-0.14520975619964172,26.666666666666668,80.0,46.66666666666667,27.272727272727273,81.81818181818183,63.63636363636364,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,62.5,81.81818181818183,62.5,54.54545454545454,58.958333333333336,100.0,70.83333333333334,81.81818181818183,1.4079362776579731,90.9090909090909,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLY,SECTOR,117.20999908447266,51.20875565632308,True,True,-2.2109139933126687,-0.0479812383596766,-0.1377952384090555,23.333333333333336,26.666666666666668,-33.33333333333333,22.727272727272727,36.36363636363637,-18.181818181818173,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,36.17021276595745,36.36363636363637,42.5531914893617,36.36363636363637,49.09574468085106,36.36363636363637,42.5531914893617,27.27272727272727,0.8919769221270113,27.27272727272727,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLP,SECTOR,85.44999694824219,56.25556830984148,False,True,-2.287021234756259,0.018153626992684302,-0.03597999483336145,53.33333333333333,40.0,-13.333333333333336,59.090909090909086,45.45454545454545,0.0,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,47.05882352941176,45.45454545454545,67.64705882352942,72.72727272727273,53.70989304812834,72.72727272727273,55.88235294117647,45.45454545454545,1.117307005888187,45.45454545454545,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLE,SECTOR,62.68000030517578,63.13655868156528,True,True,-1.678430893841909,0.10191662013019243,0.29431515848379997,86.66666666666666,60.0,-40.0,90.9090909090909,72.72727272727273,-27.272727272727266,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,76.19047619047619,100.0,90.47619047619048,100.0,52.976190476190474,63.63636363636363,66.66666666666666,72.72727272727273,1.1533522286834095,54.54545454545454,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLF,SECTOR,58.099998474121094,69.95354996732945,True,True,-0.3601490211353586,0.11071825954637449,-0.03067406726413502,70.0,53.333333333333336,-39.99999999999999,77.27272727272727,63.63636363636363,-27.272727272727273,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,60.526315789473685,72.72727272727273,65.78947368421053,63.63636363636363,52.07236842105263,45.45454545454545,65.78947368421053,63.63636363636363,1.2195023897071842,63.63636363636363,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLV,SECTOR,171.16000366210938,67.84423783353719,True,True,-2.5728535986528356,0.1305299760668297,-0.04702218634233968,63.33333333333333,86.66666666666667,13.333333333333343,68.18181818181819,90.9090909090909,18.181818181818173,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,69.49152542372882,90.9090909090909,76.27118644067797,90.9090909090909,54.44915254237288,90.9090909090909,76.27118644067797,100.0,1.480944578683687,100.0,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLI,SECTOR,177.13999938964844,52.79679279470712,False,False,-5.023856840467644,0.006046022753696478,0.028094820483747007,56.66666666666667,26.666666666666668,-33.33333333333333,63.63636363636364,27.27272727272727,-27.27272727272727,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,25.925925925925924,18.181818181818183,40.74074074074074,27.27272727272727,47.654320987654316,27.27272727272727,49.382716049382715,36.36363636363637,1.1050770727546992,36.36363636363637,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLB,SECTOR,53.18000030517578,60.65754716245062,True,True,-0.9129828218497171,0.02394165062527409,0.07126971374549829,66.66666666666666,66.66666666666666,19.999999999999993,77.27272727272728,81.81818181818183,45.45454545454546,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,60.0,63.63636363636363,72.0,81.81818181818183,53.900000000000006,81.81818181818183,72.0,90.9090909090909,1.2931356183900011,81.81818181818183,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLRE,SECTOR,44.47999954223633,53.378588597598124,False,False,-1.9400376020153987,0.00036626795392891154,-0.04014940244315057,43.33333333333333,13.333333333333334,-33.33333333333333,45.45454545454545,18.181818181818183,-18.181818181818183,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,26.666666666666668,27.27272727272727,23.333333333333332,18.181818181818183,46.833333333333336,18.181818181818183,40.0,18.181818181818183,0.8427472549360548,18.181818181818183,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
2026-08-28,XLK,SECTOR,185.69000244140625,61.07148209847497,True,True,-2.662893388522103,-0.04637680319122761,0.17256165192078865,56.666666666666664,46.666666666666664,6.666666666666664,59.090909090909086,54.54545454545454,27.27272727272727,,,,,2026-08-28,EXACT_OFFICIAL_SHARES_OUTSTANDING_DERIVED,EXACT_CURRENT_MEMBERSHIP,CURRENT_HOLDINGS_BACKCAST_PROXY_UNTIL_LIVE_HISTORY_MATURES,52.054794520547944,54.54545454545454,49.31506849315068,45.45454545454545,52.3972602739726,54.54545454545454,63.013698630136986,54.54545454545454,1.238166416308194,72.72727272727273,DATA_REQUIRED,price/internal/flowのいずれかが不足,DESCRIPTIVE_NOT_TRADING_SIGNAL
