asof,ticker,level,state,state_evidence,matrix_price_score,matrix_internal_score,matrix_internal_delta20,validated_price_score,validated_internal_score,validated_internal_delta20,weekly_rsi14,flow_1d_usd,flow_5d_usd,flow_20d_usd,flow_20d_pct_aum,breadth21,breadth50,ad20_score,obv_positive20,updown_volume20
2026-08-28,IGV,INDUSTRY,MIXED_HOLD,DESCRIPTIVE_NOT_TRADING_SIGNAL,50.0,86.66666666666667,0.0,,,,64.61397629192368,651055711.6,358671292.7,80050331.19999981,0.5188512088726316,80.0,79.04761904761905,55.4047619047619,73.33333333333333,1.4065539555451445
2026-08-28,SOXX,INDUSTRY,MIXED_HOLD,DESCRIPTIVE_NOT_TRADING_SIGNAL,53.333333333333336,26.666666666666668,13.333333333333334,,,,53.248578287732954,-152531494.5,887883906.4499996,-3632206747.6499996,-8.71201145406088,16.666666666666664,6.666666666666667,50.916666666666664,46.666666666666664,1.0353403485987516
2026-08-28,XBI,INDUSTRY,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,93.33333333333334,80.0,53.33333333333333,,,,66.19226760147818,,,,,51.02040816326531,59.863945578231295,54.82993197278911,77.55102040816327,1.5231804463690977
2026-08-28,XLB,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,66.66666666666666,66.66666666666666,19.999999999999993,77.27272727272728,81.81818181818183,45.45454545454546,60.65754716245062,,,,,60.0,72.0,53.900000000000006,72.0,1.2931356183900011
2026-08-28,XLC,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,26.666666666666668,80.0,46.66666666666667,27.272727272727273,81.81818181818183,63.63636363636364,51.855580052915016,,,,,62.5,62.5,58.958333333333336,70.83333333333334,1.4079362776579731
2026-08-28,XLE,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,86.66666666666666,60.0,-40.0,90.9090909090909,72.72727272727273,-27.272727272727266,63.13655868156528,,,,,76.19047619047619,90.47619047619048,52.976190476190474,66.66666666666666,1.1533522286834095
2026-08-28,XLF,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,70.0,53.333333333333336,-39.99999999999999,77.27272727272727,63.63636363636363,-27.272727272727273,69.95354996732945,,,,,60.526315789473685,65.78947368421053,52.07236842105263,65.78947368421053,1.2195023897071842
2026-08-28,XLI,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,56.66666666666667,26.666666666666668,-33.33333333333333,63.63636363636364,27.27272727272727,-27.27272727272727,52.79679279470712,,,,,25.925925925925924,40.74074074074074,47.654320987654316,49.382716049382715,1.1050770727546992
2026-08-28,XLK,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,56.666666666666664,46.666666666666664,6.666666666666664,59.090909090909086,54.54545454545454,27.27272727272727,61.07148209847497,,,,,52.054794520547944,49.31506849315068,52.3972602739726,63.013698630136986,1.238166416308194
2026-08-28,XLP,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,53.33333333333333,40.0,-13.333333333333336,59.090909090909086,45.45454545454545,0.0,56.25556830984148,,,,,47.05882352941176,67.64705882352942,53.70989304812834,55.88235294117647,1.117307005888187
2026-08-28,XLRE,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,43.33333333333333,13.333333333333334,-33.33333333333333,45.45454545454545,18.181818181818183,-18.181818181818183,53.378588597598124,,,,,26.666666666666668,23.333333333333332,46.833333333333336,40.0,0.8427472549360548
2026-08-28,XLU,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,13.333333333333334,6.666666666666667,-13.333333333333332,9.090909090909092,9.090909090909092,0.0,42.05273450783317,,,,,9.67741935483871,9.67741935483871,45.645161290322584,22.58064516129032,0.7891186951683354
2026-08-28,XLV,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,63.33333333333333,86.66666666666667,13.333333333333343,68.18181818181819,90.9090909090909,18.181818181818173,67.84423783353719,,,,,69.49152542372882,76.27118644067797,54.44915254237288,76.27118644067797,1.480944578683687
2026-08-28,XLY,SECTOR,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,23.333333333333336,26.666666666666668,-33.33333333333333,22.727272727272727,36.36363636363637,-18.181818181818173,51.20875565632308,,,,,36.17021276595745,42.5531914893617,49.09574468085106,42.5531914893617,0.8919769221270113
2026-08-28,XME,INDUSTRY,DATA_REQUIRED,DESCRIPTIVE_NOT_TRADING_SIGNAL,43.33333333333333,93.33333333333333,73.33333333333333,,,,57.252458046683024,,,,,58.97435897435898,66.66666666666666,57.37179487179487,79.48717948717949,1.6105885793802805
