period,method,n,signal_dates,symbols,sectors,signals_per_year,mean5,mean10,mean20,median20,win20,pf20,mae20,mfe20,p10_20,p90_20,date_ci95,block20_ci95,symbol_ci95,sector_ci95
DISCOVERY,Y10_RSI55_RS63_90,240,211,182,18,40.08148148148148,0.003824633608862885,-0.015245711239047534,-0.003973386424133043,-0.019912033300822418,0.45416666666666666,0.9539587143211619,-0.15529277276894665,0.1831872564059592,-0.24918749251813782,0.24520962174693078,"[-0.03212400623803598, 0.023518843868792678]","[-0.020137061547546974, 0.04128775353941436]","[-0.05246920112594155, 0.005820803319596554]","[-0.06993627605085412, 0.02276092381974293]"
DISCOVERY,Y10_RSI55_RS63_95,140,130,115,17,23.761129182156132,-0.004366807445924525,-0.026667196986159616,-0.00033843288169622834,-0.043197465668500634,0.45,0.996541256864232,-0.1791641450129928,0.2116701681107035,-0.2838448056747346,0.24801619986296586,"[-0.03805617802426762, 0.04099343053141806]","[-0.018884494275705863, 0.06732910559622593]","[-0.05575184071584364, 0.02529658055997709]","[-0.06673889105242117, 0.04731435559266657]"
CONFIRM,Y10_RSI55_RS63_90,127,119,105,18,28.45754447852761,-0.0007888151489320701,-0.0024823614499229632,0.03787012139576621,-0.015401300736531454,0.48031496062992124,1.4249973715288167,-0.16081092230157218,0.2730704244202411,-0.27374615257682633,0.28000948031455425,"[-0.04142795438721954, 0.06362925603449125]","[-0.04995640051818469, 0.08857389513893078]","[-0.04858321203696106, 0.16195600321326808]","[-0.031148707176196385, 0.06694660038269187]"
CONFIRM,Y10_RSI55_RS63_95,69,68,60,17,15.48969422249539,-0.006959760505218728,-0.0032899698510246906,0.06850157431941128,-0.02153194333260655,0.463768115942029,1.8056565871219348,-0.16374139093157353,0.36475649584348163,-0.263909498597021,0.21747267277122825,"[-0.05270338870262718, 0.26381736032427716]","[-0.05406896273105423, 0.3716274552592361]","[-0.05723905154144164, 0.2858827521753803]","[-0.026993895285433125, 0.13458426089321973]"
