period,method,signals,signals_per_year,symbols,median_same_symbol_gap_sessions
DISCOVERY,Y10_RSI55_RS63_90,240,40.06316270566728,182,27.0
DISCOVERY,Y10_RSI55_RS63_95,140,23.37017824497258,115,26.0
CONFIRM,Y10_RSI55_RS63_90,127,28.30127974374619,105,26.0
CONFIRM,Y10_RSI55_RS63_95,69,15.376285845027457,60,24.0
