ticker,label,quality,valid_price_rows,inception_date,rs189_pending,close,ret_1d_pct,ret_5d_pct,ret_20d_pct,rs63_vs_spy,rs189_vs_spy,rs63_rank,rs189_rank,price_score
CIBR,サイバー,MARKET_PRICE_SERIES,416,2025-01-02,False,96.19999694824219,-3.9440883848773867,3.185662859989291,2.438497707200904,0.015315919074055717,0.18923682486222604,63.63636363636363,76.36363636363637,70.0
IGV,ソフトウェア,MARKET_PRICE_SERIES,417,2025-01-02,False,106.18000030517578,-3.4551763373066313,4.251351886033539,4.098039514878216,0.008541891577158012,-0.10367271125606803,61.81818181818181,23.636363636363637,42.72727272727273
WCLD,クラウド・SaaS,MARKET_PRICE_SERIES,416,2025-01-02,False,41.709999084472656,-3.337201368446341,3.217023612891201,14.024048651257438,0.19410403831078948,0.10607780136783473,94.54545454545455,70.9090909090909,82.72727272727272
OIH,油田サービス,MARKET_PRICE_SERIES,416,2025-01-02,False,426.8800048828125,-0.5359028454772985,4.445698369899387,11.710674228191898,-0.013786936570110098,0.37562348723396566,58.18181818181818,92.72727272727272,75.45454545454545
DRAM,メモリ,MARKET_PRICE_SERIES_RS189_PENDING,105,2026-04-02,True,55.060001373291016,-3.2337435909400303,-2.098151262373771,0.3097139470448651,-0.2140601614192873,,,,
SKYY,クラウド基盤,MARKET_PRICE_SERIES,416,2025-01-02,False,160.72000122070312,-2.7942392763490975,1.1008366273901116,8.60927548384376,0.0443467229016703,0.12349590852354564,70.9090909090909,72.72727272727273,71.81818181818181
XES,油田装置,MARKET_PRICE_SERIES,416,2025-01-02,False,122.47000122070312,0.26197273092658513,3.9290606132883488,10.932970586956813,-0.014016849446005897,0.39897727544776607,54.54545454545454,94.54545454545455,74.54545454545455
AIQ,AI,MARKET_PRICE_SERIES,416,2025-01-02,False,63.060001373291016,-1.9284628609872123,1.2199071356944202,4.11094880470928,-0.10643422139548409,0.1348359176294469,36.36363636363637,74.54545454545455,55.45454545454545
ARKW,次世代ネット,MARKET_PRICE_SERIES,416,2025-01-02,False,152.47999572753906,-2.928447956387914,-0.4439853214358136,8.241641948445722,0.00384007077069759,-0.10794911715775068,60.0,20.0,40.0
BOTZ,ロボティクス,MARKET_PRICE_SERIES,416,2025-01-02,False,35.150001525878906,-2.061849753006584,-0.2836836145279298,-2.1708844215749035,-0.14014927719403192,-0.11969405776114028,25.454545454545453,18.181818181818183,21.81818181818182
SMH,半導体,MARKET_PRICE_SERIES,416,2025-01-02,False,545.219970703125,-2.0498417404016256,-0.2889570455590351,-0.04400895755166667,-0.14309003456525804,0.4285621800821444,23.636363636363637,96.36363636363636,60.0
HYDR,水素,MARKET_PRICE_SERIES,416,2025-01-02,False,42.060001373291016,-2.1883167587111063,-0.5273976959167648,1.963639692826713,-0.4009289454210948,0.04773168929029903,3.6363636363636362,58.18181818181818,30.909090909090907
XOP,石油探査,MARKET_PRICE_SERIES,416,2025-01-02,False,192.72000122070312,1.9898361416389676,3.479379046612463,10.580676251184817,0.14146895285307437,0.33749907617067443,90.9090909090909,89.0909090909091,90.0
MOO,農業,MARKET_PRICE_SERIES,416,2025-01-02,False,87.43000030517578,1.6864350914511217,2.870928936034711,7.9649255135402885,0.09067019133296905,0.1015831547357482,85.45454545454545,67.27272727272727,76.36363636363636
SOXX,半導体装置,MARKET_PRICE_SERIES,417,2025-01-02,False,500.30999755859375,-2.099642064596774,-2.674785057250584,-7.727637394385067,-0.17816927709110664,0.5663915998168452,16.363636363636363,100.0,58.18181818181818
DRIV,EV・自動運転,MARKET_PRICE_SERIES,416,2025-01-02,False,34.029998779296875,-1.3937665831164292,-0.6423393305200698,0.4130994162578894,-0.2037509447589575,0.03824414088379924,12.727272727272727,56.36363636363636,34.54545454545455
XSD,半導体EW,MARKET_PRICE_SERIES,416,2025-01-02,False,472.92999267578125,-2.5168037275804522,-1.8002519347707024,-4.489460138524759,-0.2663156383396781,0.35008959046679156,9.090909090909092,90.9090909090909,50.0
QTUM,量子・次世代,MARKET_PRICE_SERIES,416,2025-01-02,False,144.55999755859375,-2.284713280406492,-1.6197120207355087,-0.9795245432998256,-0.14747385916188382,0.21904938308947552,21.818181818181817,81.81818181818183,51.81818181818182
SLX,鉄鋼,MARKET_PRICE_SERIES,416,2025-01-02,False,108.33799743652344,0.3036712284101961,0.629754552620998,2.602520308684486,-0.05156179762061286,0.23702718970646064,43.63636363636363,83.63636363636363,63.636363636363626
BLOK,ブロックチェーン,MARKET_PRICE_SERIES,416,2025-01-02,False,60.599998474121094,-3.055510956163565,-2.791148017657752,-1.109661094519332,-0.11174102810332531,-0.14756109148750463,32.72727272727273,14.545454545454545,23.636363636363637
XME,金融・鉱業,MARKET_PRICE_SERIES,416,2025-01-02,False,115.7699966430664,-1.9977995980892005,-1.7816289595161794,12.278145628721738,-0.13333192674112349,0.07147747590547593,29.09090909090909,65.45454545454545,47.27272727272727
GRID,スマートグリッド,MARKET_PRICE_SERIES,416,2025-01-02,False,175.47000122070312,-1.636862032028663,-1.531984160657407,-3.5985072508586957,-0.11336293459309399,0.03316040961085531,30.909090909090907,54.54545454545454,42.72727272727272
IAI,証券・取引所,MARKET_PRICE_SERIES,416,2025-01-02,False,191.38999938964844,-1.583792776120363,-1.7303323127117909,2.172748188283613,0.04794397902767966,-0.02488295352558123,74.54545454545455,41.81818181818181,58.18181818181818
URA,ウラン,MARKET_PRICE_SERIES,416,2025-01-02,False,43.939998626708984,-3.449790711333356,-3.8301598875010723,7.669681813503848,-0.18295489597905812,-0.10721231463675185,14.545454545454545,21.818181818181817,18.18181818181818
NLR,原子力,MARKET_PRICE_SERIES,416,2025-01-02,False,115.76000213623047,-2.089149243484545,-2.5014748898595784,3.792704566691696,-0.16768475026281215,-0.21114659537804414,18.181818181818183,5.454545454545454,11.818181818181818
DTCR,データセンター,MARKET_PRICE_SERIES,416,2025-01-02,False,27.489999771118164,-1.4342044721547653,-1.8564814477491032,-1.1151060232013177,-0.15471552619560802,0.20403263770209001,20.0,78.18181818181819,49.09090909090909
FAN,風力,MARKET_PRICE_SERIES,416,2025-01-02,False,23.388599395751953,-1.0215817756584977,-1.5631348045124227,-1.7285708172123604,-0.10893034522030942,0.06051883860682361,34.54545454545455,61.81818181818181,48.18181818181818
ICLN,クリーンEN,MARKET_PRICE_SERIES,416,2025-01-02,False,17.239999771118164,-0.3468177375051562,-1.0900776289785696,-4.168982821245382,-0.27765020260244566,-0.09858884152022473,7.2727272727272725,25.454545454545453,16.363636363636363
SHLD,防衛テック,MARKET_PRICE_SERIES,416,2025-01-02,False,64.11000061035156,-2.0922459931990267,-2.8930568461569828,-0.40391816861352625,-0.01388082801718582,-0.08950531662651073,56.36363636363636,29.09090909090909,42.72727272727273
LIT,リチウム電池,MARKET_PRICE_SERIES,416,2025-01-02,False,74.70999908447266,-2.1736331051574687,-3.0118132306757306,7.635780352589916,-0.13707720354502395,0.0616054939406514,27.27272727272727,63.63636363636363,45.45454545454545
WOOD,林業,MARKET_PRICE_SERIES,416,2025-01-02,False,71.252197265625,-0.6245463063833001,-1.5989591740488085,-2.0049537026592734,0.059938507701553956,-0.08684724839487767,81.81818181818183,32.72727272727273,57.27272727272728
XBI,バイオテック,MARKET_PRICE_SERIES,416,2025-01-02,False,163.39999389648438,0.5538423978365348,-0.46902861731686896,10.922541989379031,0.27472267278822793,0.20848245285070544,98.18181818181819,80.0,89.0909090909091
GNOM,ゲノム,MARKET_PRICE_SERIES,416,2025-01-02,False,64.76000213623047,0.5262329506338981,-0.5635094067400925,17.97712627056971,0.3436040684100574,0.2916554354513001,100.0,85.45454545454545,92.72727272727272
PHO,水関連,MARKET_PRICE_SERIES,416,2025-01-02,False,70.12000274658203,-1.6687629403351556,-3.0286196735619275,-1.5030196068681057,0.054058344144551684,-0.15084611047924734,78.18181818181819,12.727272727272727,45.45454545454545
KBE,銀行,MARKET_PRICE_SERIES,416,2025-01-02,False,66.94999694824219,-1.268250466472065,-2.67481311643627,-5.062393455424563,0.054165746462536024,0.03149757979339762,80.0,52.72727272727272,66.36363636363636
TAN,ソーラー,MARKET_PRICE_SERIES,416,2025-01-02,False,46.86000061035156,-1.4925353984181489,-3.0215213031738575,-8.548011172208636,-0.35709140855817356,-0.16585652365423598,5.454545454545454,9.090909090909092,7.272727272727273
KRE,地銀,MARKET_PRICE_SERIES,416,2025-01-02,False,72.62000274658203,-1.2778613964240182,-2.862492413722584,-5.7617375456516235,0.04490503789067435,0.049711691624144905,72.72727272727273,60.0,66.36363636363637
IHI,医療機器,MARKET_PRICE_SERIES,416,2025-01-02,False,54.290000915527344,-1.2370389122707048,-2.8453831821687925,0.14757762849253453,0.12279273161201965,-0.2776260628319762,87.27272727272727,1.8181818181818181,44.54545454545454
KIE,保険,MARKET_PRICE_SERIES,416,2025-01-02,False,63.06999969482422,-0.12668539845070992,-1.8671184237126437,-2.4740969837995452,0.14277027646803897,-0.058124188055162174,92.72727272727272,34.54545454545455,63.63636363636363
COPX,銅鉱,MARKET_PRICE_SERIES,416,2025-01-02,False,89.23999786376953,-3.8983445216330237,-5.596108096730356,12.44959321752983,-0.04944745022647634,0.30129545958809834,45.45454545454545,87.27272727272727,66.36363636363636
IYT,運輸,MARKET_PRICE_SERIES,416,2025-01-02,False,82.93000030517578,-2.595723632036284,-4.491536846293231,-3.435022173483804,-0.016235247090673477,0.02079153195410277,52.72727272727272,49.09090909090909,50.90909090909091
ITA,航空宇宙・防衛,MARKET_PRICE_SERIES,416,2025-01-02,False,225.4600067138672,-1.2656007499024735,-3.401879773029759,-8.379386770057028,-0.017369618539642362,-0.0231885565434633,50.90909090909091,43.63636363636363,47.272727272727266
PAVE,インフラ,MARKET_PRICE_SERIES,416,2025-01-02,False,53.91999816894531,-1.4259645029522705,-3.576538028412679,-6.291280307583658,-0.056037275439335454,-0.003654792259449424,41.81818181818181,45.45454545454545,43.63636363636363
SIL,銀鉱,MARKET_PRICE_SERIES,416,2025-01-02,False,94.29000091552734,-3.7365963723805184,-6.057588586906492,24.409552416577206,0.020142604623569538,0.10495921753719117,65.45454545454545,69.0909090909091,67.27272727272728
IBUY,EC,MARKET_PRICE_SERIES,416,2025-01-02,False,71.33999633789062,-1.3823611426922566,-4.022609201544314,-2.2378184320560712,0.050691466520355055,-0.15596453928763332,76.36363636363637,10.909090909090908,43.63636363636364
REMX,レアアース,MARKET_PRICE_SERIES,416,2025-01-02,False,76.19000244140625,-1.7156788690071645,-4.463946781935735,12.65711302029613,-0.2598483116381821,-0.08690710607228613,10.909090909090908,30.909090909090907,20.909090909090907
PPH,製薬,MARKET_PRICE_SERIES,416,2025-01-02,False,114.51000213623047,1.2645916890877462,-1.6912784717788676,5.412874004861945,0.1323081585222854,0.012126425046651734,89.0909090909091,47.27272727272727,68.18181818181819
PKB,建設,MARKET_PRICE_SERIES,416,2025-01-02,False,94.9800033569336,-2.0016455310183034,-4.934441121480482,-7.732658729052888,-0.09306779486021988,-0.1305477556385083,40.0,16.363636363636363,28.18181818181818
